;id;name;city;min_salary;max_salary;company;published_at;experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
27;32870957;Android разработчик;Тюмень;50000.0;200000.0;Сервис заказа такси Максим;2019-10-18T14:30:22+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Кто мы: - IT-компания, предоставляющая облачные решения в сфере такси. К нашим сервисам подключено большое количество компаний, среди которых как мелкие региональные игроки, так и компании с мировым именем, с сотнями городов и десятками стран присутствия.   Что у нас есть: - сложный высоконагруженный сервис с миллионами пользователей по всему миру и более 12 миллионов установок в Google Play.   Мы хотим найти человека, который: - знает ООП и структуры данных, понимает принципы SOLID; - имеет опыт разработки на Java или Kotlin для Android; - знает Android SDK, понимает архитектуру Android; - имеет опыт работы с Android Studio, Gradle; - знаком с принципами Material Design; - имеет опыт работы с системами контроля версий Git; - работал с SQL базами данных;   Будем большим плюсом, если: - есть опубликованные Android-приложения (Google Play); - есть опыт коммерческой разработки под Android.   Что мы предлагаем: - множество интересных задач, в решении которых вы можете принять полноправное участие; - дружелюбный коллектив профессионалов; - корпоративное обучение; - поездки на it-конференции; - комфортное рабочее место; - компенсацию питания; - бесплатные корпоративные мероприятия (Новый Год, командные выезды и движухи); - уровень заработной платы, который зависит от технических знаний и навыков (регулярные пересмотры при повышении результатов и качества работы).";;Мы хотим найти человека, который: - знает ООП и структуры данных, понимает принципы SOLID. - имеет опыт разработки на Java или Kotlin...;;
86;33970506;Android разработчик;Тюмень;;130000.0;Минт Рокет;2019-10-08T09:39:30+0300;От 1 года до 3 лет;Удаленная работа;Полная занятость;"Требования:  Опыт разработки приложений под Android; Понимание принципов ООП и паттернов проектирования; Знание одного из следующих языков: Java, Kotlin; Опыт работы с мобильными ORM (Realm, GreenDAO, Room); Опыт работы с Git; Опыт разработки мобильных клиент-серверных приложений; Умение эффективно использовать сторонние библиотеки; Умение работать в команде; Умение и желание писать чистый и понятный код;  Будет плюсом:  Наличие проектов/кода на GitHub; Наличие опубликованных проектов в Google Play.  Что мы предлагаем:  Работа над крупными проектами для отечественных и иностранных заказчиков; Вы сможете увидеть результаты своей работы практически сразу после выполнения задачи, почувствовать себя действительно важным участником проекта, от работы которого зависит успех всей компании; В зависимости от вашего опыта, возможностей и амбиций мы можем предложить, как простые, так и задачи архитектурного и инфраструктурного характеров; Коллеги, открытые к коммуникациям, которые помогут в работе и адаптации на новом месте; Пятидневная рабочая неделя: с 9:00 до 18:00 (по согласованию можно менять график); Изучение новых технологий на практике; Интересные и сложные задачи; Возможность роста и курирования IT проектов; Кофе, печеньки;   ";;Опыт разработки приложений под Android. Понимание принципов ООП и паттернов проектирования. Знание одного из следующих языков: Java, Kotlin. ;Работа над крупными проектами для отечественных и иностранных заказчиков.;"Android; Kotlin; Java; Unit Testing; Git; Clean Architecture; RxJava; Dagger"
63;32059686;Android разработчик;Тюмень;30000.0;100000.0;Строительный Двор;2019-10-15T07:59:57+0300;От 1 года до 3 лет;Гибкий график;Полная занятость;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам!Мы любим web и у нас всегда есть интересные задачи! Требования:  высшее / неполное высшее образование (техническое / IT); знание основ программирования под Android; английский язык на уровне чтения и понимания документации; ответственность, нацеленность на результат.  Обязанности:   поддержка/доработка существующей функциональности; поддержка и доработка интерфейсов связи со внешними системами; участие в разработке новой функциональности; оптимизация кода; поддержка пользователей системы.  Условия:  официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.    Стань частью нашей команды !Мы ждём твоё резюме!";"  официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.    Стань частью нашей команды !Мы ждём твоё резюме!";Высшее / неполное высшее образование (техническое / IT). Знание основ программирования под Android. Английский язык на уровне чтения и понимания документации. ;Поддержка/доработка существующей функциональности. Поддержка и доработка интерфейсов связи со внешними системами. Участие в разработке новой функциональности. Оптимизация кода. ;"Android; Java; HTML; XML; HTTP"
73;33421561;Android разработчик;Новосибирск;50000.0;100000.0;FullStack;2019-10-17T23:58:54+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Требуется Android разработчик для работы в команде над мульти-платформенным продуктом (Android, iOS) в сфере горнолыжного спорта. Продукт свой, никакого аутсорса, поэтому самые высокие требования к качеству кода и приложения в целом. Что из себя представляет продукт и остальные детали расскажем на собеседовании.   Основные требования:  Умение писать качественный ООП код; Знание Kotlin либо возможность быстро его освоить; Способность делать оценки и укладываться в них; Android Studio; RxJava; REST.    Не технические требования:  Английский на уровне чтения/понимания без словаря.    Обязанности и задачи:  Разработка; Поддержание стиля и архитектуры кода; Code review.    Условия работы:  40 часовая рабочая неделя в офисе в Новосибирске (гибкий график). Оформление в соответствии с ТК РФ; Оплачиваемые занятия спортом; Оплачиваемое питание; Гибкий график работы. ";;Умение писать качественный ООП код. Знание Kotlin либо возможность быстро его освоить. Способность делать оценки и укладываться в них. ;Разработка. Поддержание стиля и архитектуры кода. Code review.;
82;32961844;Android разработчик;Екатеринбург;;;СКБ ЛАБ;2019-10-16T07:53:41+0300;От 1 года до 3 лет;Гибкий график;Полная занятость;SKB_Lab - это передовой IT-проект. Он создан для разработки абсолютно нового интернет-банка и мобильных приложений для него, как для физических, так и для юридических лиц. Если говорить про философию работы, то мы применяем agile подходы. Исходя из этого, можно сказать, что мы гибкие - у каждого есть возможность влиять на принятие решений в проектах! Вся команда, вместе с руководством, находится в офисе в Екатеринбурге, что, несомненно, влияет на скорость принятия решений, и отсутствие бюрократии. Обязанности:  Разработка нового функционала приложений. Написание кода, построение и переработка архитектуры приложения.  Мы ждем от вас:  Опыт нативной разработки для Android от 1 года. Уверенное знание Java, Android SDK. Мы используем: Kotlin, Cicerone, Toothpick, RxJava, Moxy, Retrofit и кое-что еще. Инструменты: YouTrack, Slack, UpSource, Zeplin. Умение работать с системой контроля версий, CI. Знание классических алгоритмов и структур данных. Желателен опыт реализации собственных проектов под Android. Знание любой другой из мобильных платформ приветствуется. Стремление повышать собственный уровень профессиональной квалификации. Знание технического английского языка.  Условия:  Заработная плата, которая будет радовать (уровень дохода зависит от ваших навыков и технических знаний). Премии (не только по итогам года). Даем простор в развитии «профессиональной мускулатуры», предлагая работу вместе с профессионалами. Мы можем доверить вам участие в развитии наших продуктов, возможность предлагать идеи и технологии. Предлагаем возможность участия в мероприятиях для профессионального развития. Конференции, тренинги, учебные курсы. Обустроим для вас удобное рабочее место с современной техникой. Компенсируем занятия спортом. Оплатим паркинг, если вы на машине, а если машины нет, то мы оплатим ваш проезд на общественном транспорте (дадим безлимитную Е-карту) и припаркуем ваш велосипед. Мы располагаемся в отличном офисе с великолепным панорамным видом на город. На кофе-поинте вас всегда будут ждать плюшки и свежий кофе. Мы даже подумали о том, как вы будете расслабляться в офисе: у нас есть зоны релакса, массажист, душ, кикер, аэрохоккей, боксёрская груша и гимнастический станок. Мы отладили все наши процессы таким образом, чтобы вас не тревожили вопросы бюрократии.  Мы ценим:   Тех, кто уважает мнение Заказчика. Тех, кто не боится ответственности. Тех, кто работает на результат. Тех, кто не требует микроменеджмента и постоянного менторства. Тех, кто сказал, что все будет готово в пятницу, и финишировал в четверг вечером. Тех, кто готов делиться своим опытом. Красивый код.  Ждем Вас в нашем офисе! Обсудим больше подробностей.;  Заработная плата, которая будет радовать (уровень дохода зависит от ваших навыков и технических знаний). Премии (не только по итогам года). Даем простор в развитии «профессиональной мускулатуры», предлагая работу вместе с профессионалами. Мы можем доверить вам участие в развитии наших продуктов, возможность предлагать идеи и технологии. Предлагаем возможность участия в мероприятиях для профессионального развития. Конференции, тренинги, учебные курсы. Обустроим для вас удобное рабочее место с современной техникой. Компенсируем занятия спортом. Оплатим паркинг, если вы на машине, а если машины нет, то мы оплатим ваш проезд на общественном транспорте (дадим безлимитную Е-карту) и припаркуем ваш велосипед. Мы располагаемся в отличном офисе с великолепным панорамным видом на город. На кофе-поинте вас всегда будут ждать плюшки и свежий кофе. Мы даже подумали о том, как вы будете расслабляться в офисе: у нас есть зоны релакса, массажист, душ, кикер, аэрохоккей, боксёрская груша и гимнастический станок. Мы отладили все наши процессы таким образом, чтобы вас не тревожили вопросы бюрократии.  Мы ценим:   Тех, кто уважает мнение Заказчика. Тех, кто не боится ответственности. Тех, кто работает на результат. Тех, кто не требует микроменеджмента и постоянного менторства. Тех, кто сказал, что все будет готово в пятницу, и финишировал в четверг вечером. Тех, кто готов делиться своим опытом. Красивый код.  Ждем Вас в нашем офисе! Обсудим больше подробностей.;Опыт нативной разработки для Android от 1 года. Уверенное знание Java, Android SDK. Мы используем: Kotlin, Cicerone, Toothpick, RxJava, Moxy...;Разработка нового функционала приложений. Написание кода, построение и переработка архитектуры приложения.;"Agile Project Management; Обучение персонала; Redmine; Android; Android SDK; Java; kotlin"
92;32942394;Android разработчик;Новосибирск;;;ПКБ;2019-10-18T15:25:28+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Обязанности:  Разработка мобильных приложений  Требования:  Высшее; Опыт работы на аналогичной должности – от 2 лет; Английский язык на уровне чтения документации; Уверенные знания Android SDK, RXJava, Dagger, Retrofit, DataBindings, WebSocket. Желателен опыт работы с Realm, MVI, Kotlin, написание Unit Test  Условия:  Официальное трудоустройство согласно ТК РФ Белая зп ( оклад+ бонус ) Возможность профессионального развития ";  Официальное трудоустройство согласно ТК РФ Белая зп ( оклад+ бонус ) Возможность профессионального развития ;Высшее. Опыт работы на аналогичной должности – от 2 лет. Английский язык на уровне чтения документации. Уверенные знания Android SDK, RXJava...;Разработка мобильных приложений.;"Android SDK; RXJava; Dagger; Retrofit; DataBindings; WebSocket; Разработка мобильных приложений"
44;32942395;Android разработчик;Ростов-на-Дону;;;ПКБ;2019-10-18T15:25:26+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Обязанности:  Разработка мобильных приложений  Требования:  Высшее; Опыт работы на аналогичной должности – от 2 лет; Английский язык на уровне чтения документации; Уверенные знания Android SDK, RXJava, Dagger, Retrofit, DataBindings, WebSocket. Желателен опыт работы с Realm, MVI, Kotlin, написание Unit Test  Условия:  Официальное трудоустройство согласно ТК РФ Белая зп ( оклад+ бонус ) Возможность профессионального развития ";  Официальное трудоустройство согласно ТК РФ Белая зп ( оклад+ бонус ) Возможность профессионального развития ;Высшее. Опыт работы на аналогичной должности – от 2 лет. Английский язык на уровне чтения документации. Уверенные знания Android SDK, RXJava...;Разработка мобильных приложений.;"Android SDK; RXJava; Dagger; Retrofit; DataBindings; WebSocket; Разработка мобильных приложений"
52;33442656;Android разработчик;Тюмень;;;IQ Орtiоn Sоftwаre;2019-10-16T17:49:47+0300;От 3 до 6 лет;Полный день;Полная занятость;"Привет, давай знакомиться IQ Option – это международная финтех-компания, где разработали одну из лучших в мире платформ для торговли финансовыми инструментами. Благодаря нам миллионы людей могут легко открывать для себя мир трейдинга и испытывать весь спектр ярких эмоций. За это мы получили больше десятка престижных наград, в том числе как самый инновационный и надежный брокер в сфере высокорисковой торговли.Каждый день на нашей платформе появляется почти 30 тысяч новых аккаунтов. И каждый день они совершают около 1 миллиона сделок. Всего у нас зарегистрировано больше 40 млн пользователей в 150 странах мира.Нам шесть лет, у нас работает более 600 человек в трех офисах (в Петербурге, Лимасоле и Лондоне) и половина нас – это разработка. Мы пишем на Go, PHP, C++, Scala, Python и Java, исповедуем микросервисную архитектуру и уважаем разумный Agile. А еще мы любим прыгать выше головы – и у нас это получается. У нас можно быть собой. И у нас можно быть лучше себя.Сейчас мы находимся в поиске Android-разработчика в команду профессионалов, которая нацелена на качественный и значимый результат. Каждый член команды вносит свой уникальный вклад в продукт, участвуя в полном цикле разработки задач: от этапа черновика до внедрения в прод.У команды Android нетривиальный технический стек: 2 точки интеграции с другими командами разработки: ws/http - backend и JNI - команда разработки интерактивного графика. В качестве основного языка разработки используется Kotlin, а основными библиотеками в проекте являются: Architecture components, RxJava2. С какими задачами предстоит столкнуться:    разработка мобильного клиента Android для работы на платформе IQOption;   разработка новых продуктов и развитие существующих;     декомпозиция задач, оценка времени и планирование спринта;   использование новых технологий, архитектурных подходов, совершенствование навыков программирования;   обмен опытом с командой.   Технологии, используемые в работе:   разработка приложения ведется на Kotlin/Java;   библиотеки: Architecture Components (ViewModels, LiveDatas), RxJava2;   интеграция: WebSocket, HTTP, JNI.   Наши ожидания от кандидата:    Опыт коммерческой разработки под android   Отличное знание языков: Kotlin + Java;   Глубокое понимание API платформы;   Опыт работы с библиотеками: Architecture Components, RxJava2.   Нашему сотруднику мы предлагаем:  график работы 5/2, гибкое начало рабочего дня трудоустройство, согласно ТК РФ (полностью белая заработная плата) ДМС место работы в десяти минутах ходьбы от ст.м. Новочеркасская в офисе класса А+ компенсация обедов корпоративный спорт-зал с личным тренером спортивные секции (футбол, баскетбол, волейбол) корпоративные тренинги обучение иностранным языкам (английский) работу в отличном коллективе и множество развлекательных мероприятий дополнительные условия для иногородних и иностранных кандидатов:  помощь в оформлении документов (для иностранных граждан) компенсация стоимости проезда до Санкт-Петербурга предоставление места проживания за счет компании в первый месяц работы (далее - помощь в поиске жилья).   ";;Опыт коммерческой разработки под android. Отличное знание языков: Kotlin + Java. Глубокое понимание API платформы. Опыт работы с библиотеками: Architecture...;Разработка мобильного клиента Android для работы на платформе IQOption. Разработка новых продуктов и развитие существующих. Декомпозиция задач, оценка времени и...;"Java; Android; Android SDK"
