;id;name;city;min_salary;max_salary;company;published_at;experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
19;33698182;Программист Python;Тюмень;60000.0;120000.0;Оранж Рокетс;2019-09-20T16:14:43+0300;От 1 года до 3 лет;Полный день;Полная занятость;В связи с увеличением задач нам нужны помощники в команду разработчиков.Обязанности:  Участие в разработке серверной части мобильного приложения.  Требования:  Знание языка Python и фреймворка Django Хорошее знание SQL и опыт работы с PostgreSQL Желательно:  Опыт работы с AWS      Условия:  Гибкий график Работа в просторном офисе в центре    Хочешь разрабатывать интересные и нужные приложения? Мы тебя ждем!;  Гибкий график Работа в просторном офисе в центре    Хочешь разрабатывать интересные и нужные приложения? Мы тебя ждем!;Знание языка Python и фреймворка Django. Хорошее знание SQL и опыт работы с PostgreSQL. Желательно: Опыт работы с AWS.;Участие в разработке серверной части мобильного приложения.;"Python; Django Framework; Git; PostgreSQL; ООП"
52;33833014;Программист Python;Москва;100000.0;120000.0;Смарт Текнолоджис,ООО;2019-10-18T12:59:32+0300;От 3 до 6 лет;Полный день;Полная занятость;"Описание вакансии Мы ищем в наш проект талантливых программистов с опытом коммерческой разработки. Вам предстоит работать над уникальным проектом в сфере ИИ. Если вы более 3 лет работаете с python, знаете разницу между списком и кортежем, понимаете как устроен словарь и где его нужно применять то это вакансия для вас. Требования:  Опыт коммерческой разработки. Опыт работы python программистом более 3х лет. Отличное знание Python(3.6), ООП, паттернов проектирования. Наличие реализованных проектов на Python. Знание реляционных СУБД и языка SQL. Опыт работы в ОС Linux (Debian/Ubuntu) на уровне пользователя, также базовые знания на уровне программиста. Знанием систем контроля версий и умение с ними работать(git). Английский язык на уровне свободного чтения технической документации. Будет плюсом опыт работы с Elasticsearch, PHP, NodeJs.  Что нужно делать:  Разработка и поддержка приложений в сфере ИИ. Разработка диалоговых систем. Реализация бизнес-логики. Рефакторинг старого кода и проектирование нового. Написание тестов. Решение нестандартные задач и изучение новых технологий.    Условия:  Участие в уникальных передовых проектах в сфере ИИ и голосовых технологий; Возможности для профессионального развития. Командная работа, общение и обмен опытом. Дружный и творческий коллектив.  PS: Ищутся кандидаты только с опытом, начинающих просьба не беспокоить.";"  Участие в уникальных передовых проектах в сфере ИИ и голосовых технологий; Возможности для профессионального развития. Командная работа, общение и обмен опытом. Дружный и творческий коллектив.  PS: Ищутся кандидаты только с опытом, начинающих просьба не беспокоить.";"Опыт коммерческой разработки. Опыт работы python <highlighttext>программистом</highlighttext> более 3х лет. Отличное знание Python(&gt;3.6), ООП, паттернов проектирования. ";Разработка и поддержка приложений в сфере ИИ. Разработка диалоговых систем. Реализация бизнес-логики. Рефакторинг старого кода и проектирование нового. ;"Git; Linux; SQL; ООП; JavaScript; Nginx; MySQL"
88;33941667;Программист Python;Тюмень;70000.0;110000.0;Тензор;2019-10-07T08:15:54+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Тензор – крупная российская IT-компания. Наш основной продукт – СБИС – сеть деловых коммуникаций. СБИС объединяет людей и компании, системы управления и учета, бизнес-процессы и документы в одной системе. Систему СБИС придумали, создали и постоянно совершенствуют почти 1500 разработчиков в 11 центрах разработки. У нас есть фанаты дата-майнинга, эксперты в разработке кроссплатформенных приложений и высоконагруженных систем, разработчики мобильных, настольных и веб-приложений, специалисты по обработке, анализу и хранению больших массивов данных. Мы ищем людей, способных реализовывать крупные проекты от идеи до “продакшена”. Присоединившись к нашей команде, у вас будет возможность усовершенствовать систему СБИС. Результатом вашей работы будут пользоваться более миллиона людей – на компьютерах, планшетах и смартфонах. Мы не работаем под заказ, мы создаем тиражные продукты. Используемый стек технологий: C++, Python, PostgreSQL, Javascript, NodeJS, Redis, ElasticSearch, Clickhouse. Вам не нужно знать буквально все наши технологии. Нужна светлая голова и страстное желание работать. Делать лучший продукт в России. Мы будем рады узнать о наличии у вас:  опыта разработки на указанных выше ЯП или любом диалекте SQL; способности чувствовать «красоту кода»; опыта командной разработки; профильного (ИТ/инженерного) образования; желания развиваться – как вместе с нами, так и самостоятельно.    Мы предлагаем:  заработная плата в зависимости от квалификации и уровня ответственности; оформление по ТК РФ; премии от 5 до 20% по итогам работы за месяц; социальные гарантии; ДМС после года работы в компании; спортивные программы; корпоративные праздники и различные совместные мероприятия. ";"  заработная плата в зависимости от квалификации и уровня ответственности; оформление по ТК РФ; премии от 5 до 20% по итогам работы за месяц; социальные гарантии; ДМС после года работы в компании; спортивные программы; корпоративные праздники и различные совместные мероприятия. ";Опыта разработки на указанных выше ЯП или любом диалекте SQL. Способности чувствовать «красоту кода». Опыта командной разработки. Профильного (ИТ/инженерного...;;"SQL; Python; PostgreSQL"
81;34008673;Программист Python;Санкт-Петербург;100000.0;;Лаборатория 50;2019-10-18T16:47:52+0300;От 1 года до 3 лет;Полный день;Полная занятость;Компания «Лаборатория 50» ищет Python-программиста для разработки нового проекта. Мы предлагаем работу в стартапе и возможность воплощения идей. Обязанности:   Проектирование и разработка веб-сервиса на Python 3.   Масштабирование решения с ростом количества пользователей.   Требования:   Опыт коммерческой разработки или свободные проекты на Python.   Опыт работы в Linux не менее 2 лет.   Знакомство с Django.   Понимание технологий HTTP, AJAX, WebSocket.   Понимание принципов REST API.   Условия:   Полная занятость.   Устройство по ТК РФ.  ;   Полная занятость.   Устройство по ТК РФ.  ;Опыт коммерческой разработки или свободные проекты на Python. Опыт работы в Linux не менее 2 лет. Знакомство с Django. ;Проектирование и разработка веб-сервиса на Python 3. Масштабирование решения с ростом количества пользователей.;"Python; Django Framework; Linux"
23;34039951;Программист Python;Омск;;;Театральный эксклюзив;2019-10-11T11:30:08+0300;От 3 до 6 лет;Удаленная работа;Проектная работа;"Обязанности:  Разработка сайтов по продаже билетов на культурно-развлекательные и спортивные мероприятия; Верстка и программирование по готовому дизайну; Привязка интерактивных схем на сайты; Разработка схем с возможностью выбора билетов по местам; Подключение виджетов к мероприятиям; Настройка парсингов; Подключение токенов оплаты, через систему Сбербанк.  Требования:  Четкое выполнение сроков поставленных задач; Стремление решать задачи любой сложности.  Условия:  Удаленная работа; Сдельная оплата труда. ";"  Удаленная работа; Сдельная оплата труда. ";Четкое выполнение сроков поставленных задач. Стремление решать задачи любой сложности.;Разработка сайтов по продаже билетов на культурно-развлекательные и спортивные мероприятия. Верстка и программирование по готовому дизайну. Привязка интерактивных схем...;"CSS3; Adobe Photoshop; HTML5; CorelDRAW; HTML; Веб-программирование; Пользователь ПК; Python"
