;id;name;city;min_salary;max_salary;company;published_at;experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
94;33762925;Ведущий программист 1С;Казань;;120000.0;PROFI.RU;2019-10-18T10:17:23+0300;От 3 до 6 лет;Удаленная работа;Полная занятость;Кто мы Наш холдинг занимается развитием маркетплейсов услуг, а наша 1С-система заточена на то, что быть инструментом для бухгалтерии, команды финансистов и отдела кадров. Мы параллельно ведём стандартный бухгалтерский учёт и готовим МСФО. Проходим ежегодный аудит у Big 4. Используем «1С: Бухгалтерия 8» с надстройкой «БИТ Финанс», «1С: Зарплата и управление персоналом 8», модуль «Диадок». Сейчас за разными частями системы следят три специалиста на аутсорсе. Количество задач увеличивается, поэтому мы хотим найти одного опытного программиста на полный день, который будет развивать всю систему целиком. Зачем тебе к нам  Отвечать за 1С в крупной IT-компании. Планировать, как будет развиваться программа, и находить удалённых подрядчиков под масштабные задачи. Видеть отдачу от своих решений. Понимать, как твои действия упрощают работу пользователей. Работать в современной и надёжной компании. Чтобы заявление не выглядело самопиаром :-) Мы четыре года подряд участвуем в «Рейтинге работодателей России» HeadHunter и постоянно улучшаем свои результаты. В прошлом году мы заняли 35-е место из 265.  Чем ты будешь заниматься  Поддерживать бесперебойную работу в 1С. Отлаживать создание бэкапов и работу с мастер-данными. Формировать матрицу ролей пользователей, которая учитывает структуру и специфику компании. Сейчас систему используют 50 человек. Совершенствовать систему, следить за обновлениями и подбирать новые конфигурации продуктов. Выдавать задания подрядчикам, контролировать исполнение и принимать результат. Вместе с командой формировать блок управленческой отчётности и МСФО. Ускорять и оптимизировать работу 1С и баз данных. Обеспечивать информационную безопасность 1С и её интеграцию с биллингом и другими системами внутри компании. Быть на связи с пользователями, рассказывать, как работать в системе, отвечать на вопросы, решать проблемы. Писать инструкции для коллег.  Что нужно, чтобы к нам присоединиться  Опыт разработки и поддержки при 1С — от четырёх лет. Ты готов рассказать о проектах, задачах и результатах, которых достиг. Аккуратность. Ты привык поддерживать код в хорошем техническом состоянии и контролировать, как работает система в целом. Готовность удалённо работать пять дней в неделю. Ты всегда на связи в рабочее время, соблюдаешь дедлайны и понятно отвечаешь на вопросы — чаще всего письменно. Понимание, что такое бухгалтерский, управленческий и МСФО-учёт в современной компании. Осознанность в действиях. Если ты видишь, что несколько задач от разных людей пересекается, то вместо двух доработок сделаешь одну, которая поможет всем. Ответственность. Мы ждём, что ты будешь на связи в рабочее время, но не против корректировать график, если предупредишь заранее.  Что мы за это предлагаем  Высокую белую зарплату. Корпоративные выезды, хакатоны, митапы, тематические вечеринки и тренинги. ;;Опыт разработки и поддержки при 1С — от четырёх лет. Ты готов рассказать о проектах, задачах и результатах, которых достиг. ;Поддерживать бесперебойную работу в 1С. Отлаживать создание бэкапов и работу с мастер-данными. Формировать матрицу ролей пользователей, которая учитывает...;"МСФО; 1С: Зарплата и управление персоналом; 1C: Бухгалтерия; Бухгалтерский учет"
32;33778850;Ведущий программист 1С;Новосибирск;90000.0;100000.0;Электромагистраль;2019-10-19T04:50:57+0300;От 3 до 6 лет;Полный день;Полная занятость;"Обязанности: Проектирование и разработка новых функциональных блоков учетных систем. Написание технической документации. Сопровождение разработанных блоков учета. Требования: Глубокие знания механизмов работы платформы 1С:Предприятие 8.3. Навык работы с СКД, web-сервисами, настройка кластера серверов 1С. Опыт работы с конфигурациями УПП 1.3, ERP, Документооборот 2, Конвертация данных 2. Ответственность, внимательность, умение работать в команде, способность доводить задачи до логического конца. Стрессоустойчивость, коммуникабельность. Условия: Оформление в соответствии с ТК РФ; корпоративный фитнес, бассейн. Компенсация затрат на электроэнергию. График работы: с 8-00 до 17-00 (пятница до 16-00). Обязательные социальные гарантии.";" Оформление в соответствии с ТК РФ; корпоративный фитнес, бассейн. Компенсация затрат на электроэнергию. График работы: с 8-00 до 17-00 (пятница до 16-00). Обязательные социальные гарантии.";Глубокие знания механизмов работы платформы 1С:Предприятие 8.3. Навык работы с СКД, web-сервисами, настройка кластера серверов 1...;Проектирование и разработка новых функциональных блоков учетных систем. Написание технической документации. Сопровождение разработанных блоков учета.;"1С: Предприятие 8; 1С: Документооборот; 1С программирование; Обновление конфигурации 1С; ERP-системы на базе 1С; 1С: Управление Производственным Предприятием"
99;32460235;Ведущий программист 1С;Ростов-на-Дону;;50000.0;Областной консультативно-диагностический центр, ГУЗ;2019-10-18T09:19:27+0300;От 3 до 6 лет;Полный день;Полная занятость;"Обязанности:   Адаптация и сопровождение программного обеспечения на основе платформы «1С» Обеспечение надежного функционирования программных средств бухгалтерии и отдела кадров: своевременная диагностика неисправностей.  Требования:   Высшее профильное образование. Опыт работы не менее 3 лет с программным обеспечением 1С: Бухгалтерия, Предприятие. Желателен опыт работы с 1С: Зарплата и кадры бюджетного учреждения. Конфигурирование в системе 1С:Предприятие. Ответственность, внимательность, исполнительность, высокая работоспособность.   Условия:   график работы: с 8.00 до 16.30; суббота, воскресенье – выходные. полный соцпакет, заработная плата: первый месяц – 28 800 руб., далее с учетом выплат компенсационного и стимулирующего характера до 50 000 руб.  ";"   график работы: с 8.00 до 16.30; суббота, воскресенье – выходные. полный соцпакет, заработная плата: первый месяц – 28 800 руб., далее с учетом выплат компенсационного и стимулирующего характера до 50 000 руб.  ";Высшее профильное образование. Опыт работы не менее 3 лет с программным обеспечением 1С: Бухгалтерия, Предприятие. Желателен опыт работы с...;Адаптация и сопровождение программного обеспечения на основе платформы «1С». Обеспечение надежного функционирования программных средств бухгалтерии и отдела кадров: своевременная...;
13;30244391;Ведущий программист 1С;Тюмень;53000.0;;ГК ТюмБИТ;2019-10-14T11:00:18+0300;От 1 года до 3 лет;Полный день;Полная занятость;С каждым днем объём работы в нашей организации увеличивается, поступают интересные и разносторонние задачи. Мы готовы принять в свою команду профессионала своего дела на взаимовыгодных условиях. Ваш отклик может стать началом долгого и выгодного сотрудничества. Основные задачи:  Разработка нового функционала на платформе 1С по техническим заданиям Анализ программного кода, доработка, адаптация типовых конфигураций под требования заказчиков Разработка внешних печатных форм, отчетов и обработок, расширений Оценка и соблюдение трудозатрат и сроков по выполняемым работам, участие в подготовке технических заданий Обновление доработанных конфигураций  Мы ищем специалиста с:  Образованием: высшее/ неполное высшее Знанием основ программирования на платформе 1С Опытом работы программистом от 1 года Стремлением к профессиональному росту Высокой работоспособностью и стрессоустойчивостью Умением работать в коллективе  Мы предлагаем:  Интересные и разносторонние задачи Стабильная‚ официальная‚ конкурентоспособная заработная плата Оформление по ТК РФ Уютный офис в центре города Молодой и дружный коллектив из профессионалов своего дела Возможности обучения и сертификации для сотрудников компании Корпоративные мероприятия   ;  Интересные и разносторонние задачи Стабильная‚ официальная‚ конкурентоспособная заработная плата Оформление по ТК РФ Уютный офис в центре города Молодой и дружный коллектив из профессионалов своего дела Возможности обучения и сертификации для сотрудников компании Корпоративные мероприятия   ;Знанием основ программирования на платформе 1С. Опытом работы <highlighttext>программистом</highlighttext> от 1 года. Стремлением к профессиональному росту. Высокой работоспособностью и...;Разработка нового функционала на платформе 1С по техническим заданиям. Анализ программного кода, доработка, адаптация типовых конфигураций под требования заказчиков. ;"1С программирование; 1С: Бухгалтерия; 1С: Предприятие 8; 1С: Зарплата и управление персоналом; 1С: Управление Торговлей; 1С: Документооборот; 1С: Зарплата и кадры; Программное обеспечение; Управление проектами"
67;34012290;Ведущий программист 1С;Челябинск;60000.0;;Кондитерская Фабрика ФАНТЭЛЬ;2019-10-17T06:04:22+0300;От 3 до 6 лет;Полный день;Полная занятость;"Обязанности:  Программирование новых и поддержка действующих систем на платформе 1С 8.3 УПП; Самостоятельная разработка проектов на основании задач на разработку; Выявление и исправление ошибок в действующих системах,оптимизация программного кода; Знание ЗиК, бухгалтерского и налогового учета на производственном предприятии.    Требования:  Высшее профильное образование Опыт программирования для 1С:УПП Опыт работы на производственном или торговом предприятии    Условия:  Официальное трудоустройство Белая заработная плата 2 раза в месяц на банковскую карту Корпоративная сотовая связь Место работы в Металлургическом районе г. Челябинска График работы с 9.00 до 18.00, выходные суббота и воскресенье ";  Официальное трудоустройство Белая заработная плата 2 раза в месяц на банковскую карту Корпоративная сотовая связь Место работы в Металлургическом районе г. Челябинска График работы с 9.00 до 18.00, выходные суббота и воскресенье ;Высшее профильное образование. Опыт программирования для 1С:УПП. Опыт работы на производственном или торговом предприятии.;Программирование новых и поддержка действующих систем на платформе 1С 8.3 УПП. Самостоятельная разработка проектов на основании задач на...;
74;33838661;Ведущий программист 1С;Омск;120000.0;;Содружество, Группа компаний;2019-10-14T10:39:47+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Группа компаний Содружество в связи с активным развитием приглашает на работу Программистов 1С !  Мы ищем профессионалов в своей сфере. Если Вы любите и умеете решать сложные задачи, хотите развиваться в сфере программирования и разработки 1С - отправляйте резюме! Группа компаний Содружество оказывает активную поддержку при переезде в Калининградскую область. Так же мы являемся участниками программы Повышения Трудовой Мобильности!   ОБЯЗАННОСТИ:  Разработка нового функционала или доработка имеющегося в корпоративных информационных системах на базе 1С:Предприятие 8.3:; Выполнение предпроектного исследования объекта автоматизации. ; Анализ и уточнение требований. Их формальное описание и регистрация. ; Оценка трудоемкости реализации требований. Календарное планирование разработки. ; Разработка, тестирование и отладка и рефакторинг программного кода на 1С:Предприятие 8.3. ; Внедрение программного кода в рабочую среду. Подготовка сборки для внедрения.; Разработка системы прав и полномочий пользователей. ; Интеграция 1С с другими информационными системами.; Документирование изменений в функционале системы.; Консультирование пользователей, по разрабатываемому функционалу.  ТРЕБОВАНИЯ:  Знания и навыки конфигурирования и программирования в среде 1С:Предприятие 8; Знание БСП, Конвертации данных 2.0 или 3.0; Навыки разработки сложных отчетов на СКД; Опыт работы в качестве программиста 1С с платформой 1С:Предприятие 8 от 2-х лет; Опыт участия в проектах разработки ПО от 1-го года; Умение коммуницировать с бизнес-заказчиком, нацеленность на удовлетворение требований бизнеса.    МЫ ГАРАНТИРУЕМ:  Стабильную и разноплановую загрузку в крупной международной компании. Возможности для профессионального и карьерного развития. Своевременную выплату КОНКУРЕНТНОЙ ЗАРАБОТНОЙ ПЛАТЫ. Оформление и ведение отношений в соответствии с ТК РФ. График работы пятидневная рабочая неделя с 9:00 до 18:00. Полный социальный пакет согласно ТК РФ. Обучение. Доставка служебным транспортом.   ";;"Навыки разработки сложных отчетов на СКД. Опыт работы в качестве <highlighttext>программиста</highlighttext> 1С с платформой &quot;1С:Предприятие 8&quot; от...";"Разработка нового функционала или доработка имеющегося в корпоративных информационных системах на базе &quot;1С:Предприятие 8.3&quot;:. Выполнение предпроектного исследования...";
98;32062758;Ведущий программист 1С;Новосибирск;;;Горводоканал, МУП г.Новосибирска;2019-10-18T12:24:22+0300;От 3 до 6 лет;Полный день;Полная занятость;"Открыт конкурс на вакансию Ведущий программист 1С, который хочет развиваться, которому интересны сложные и нестандартные задачи, который хочет работать в крупной, стабильной компании и мечтает работать с профессионалами плечом к плечу.  Задачи:  разработка и доработка конфигурации под задачи предприятия; сопровождение подсистем на базе 1С УПП; поддержка работоспособности информационной системы; участие в постановке задач (составление ТЗ); написаине отчетов и обработок; консультация пользователей; отладка и тестирование уже существующих и разработанных задач.  Требования:  высшее техническое образование; опыт программирования в 1С 8; опыт разработки и сопровождения конфигураций на 1С в крупных компаниях; уверенное знание предметных областей: документооборот, бухгалтерский учет, управленческий учет; знание конфигураций 1С УПП; умение работать в команде, клиентоориентированность.  Условия:  социально ответственный и надежный работодатель; стабильный белый доход и гибкая система премирования; размер заработной платы обсуждается с итоговым кандидатом; возможность профессионального и карьерного роста; хороший коллектив, готовый помочь и грамотный руководитель; полный рабочий день с 8.00 до 17.00, ПН-ПТ; место работы: ул. Революции (тихий центр города); социальный пакет, медицинская страховка за счет работодателя; обучение, повышение квалификации за счет работодателя. ";"  социально ответственный и надежный работодатель; стабильный белый доход и гибкая система премирования; размер заработной платы обсуждается с итоговым кандидатом; возможность профессионального и карьерного роста; хороший коллектив, готовый помочь и грамотный руководитель; полный рабочий день с 8.00 до 17.00, ПН-ПТ; место работы: ул. Революции (тихий центр города); социальный пакет, медицинская страховка за счет работодателя; обучение, повышение квалификации за счет работодателя. ";Высшее техническое образование. Опыт программирования в 1С 8. Опыт разработки и сопровождения конфигураций на 1С в крупных компаниях. ;Разработка и доработка конфигурации под задачи предприятия. Сопровождение подсистем на базе 1С УПП. Поддержка работоспособности информационной системы. ;"1С: Бухгалтерия; 1С программирование; Бухгалтерская отчетность; Бухгалтерский учет; 1С: Управление Производственным Предприятием"
76;33899564;Ведущий программист 1С;Тюмень;;;ГЕОТЕК Сейсморазведка;2019-10-11T09:26:09+0300;От 3 до 6 лет;Полный день;Полная занятость;Обязанности: - Доработка конфигураций 1С Документооборот, 1С Консолидация (блок Казначейство) под задачи компании - Участие в новых проектах компании Требования:  Высшее техническое образование Опыт работы от 3 лет Отличное знание платформы 1С 8 Хорошие навыки программирования на управляемых формах Понимание принципов ведения документооборота компании в области закупок, работы с поставщиками Личностные качества: коммуникабельность, способность переключаться между различными задачами  Желательно: - Наличие сертификата 1С специалист по платформе 1С Предприятие 8 - Опыт разработки web-сервисов - Знание особенностей конфигураций: 1С Документооборот, 1С:Консолидация - Опыт автоматизации общих центров обслуживания Условия:  Официальное трудоустройство по ТК РФ, соц.гарантии Официальная белая заработная плата- размер обсуждается индивидуально Пятидневная рабочая неделя с 8-30 до 17-30 Офис в центре города, на территории имеется столовая для сотрудников Корпоративная мобильная связь ;  Официальное трудоустройство по ТК РФ, соц.гарантии Официальная белая заработная плата- размер обсуждается индивидуально Пятидневная рабочая неделя с 8-30 до 17-30 Офис в центре города, на территории имеется столовая для сотрудников Корпоративная мобильная связь ;Высшее техническое образование. Опыт работы от 3 лет. Отличное знание платформы 1С 8. Хорошие навыки программирования на управляемых формах. ;Доработка конфигураций 1С Документооборот, 1С Консолидация (блок Казначейство) под задачи компании. - Участие в новых проектах компании.;1С: Предприятие 8
