;id;name;city;min_salary;max_salary;company;published_at;experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
49;30031050;Backend-разработчик;Тюмень;45700.0;;ГАУ ТО МФЦ;2019-10-17T09:42:18+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Требования:  Высшее образование в сфере информационных технологий; Опыт работы по специальности от 1 года; Знание одного из языков программирования: функциональные языки программирования, Java, Kotlin, C, C++, C#, Scala, Python; Навыки работы с базами данных. Знание SQL; Опыт работы с системами контроля версий (желательно Gitlab); Понимание принципов Agile, Scrum, TDD; Желание работать в команде и осваивать новые технологии.  Обязанности:  Участие в проектах по разработке многопользовательских, высоконагруженных информационных систем. Разработка, модификация и сопровождение имеющихся систем организации.  Условия:   Трудоустройство согласно ТК РФ; Рабочее место на ул. Первомайская; Повышение квалификации; 40-часовая рабочая неделя. ";"   Трудоустройство согласно ТК РФ; Рабочее место на ул. Первомайская; Повышение квалификации; 40-часовая рабочая неделя. ";Высшее образование в сфере информационных технологий. Опыт работы по специальности от 1 года. Знание одного из языков программирования: функциональные языки...;Участие в проектах по разработке многопользовательских, высоконагруженных информационных систем. Разработка, модификация и сопровождение имеющихся систем организации.;"Java; Linux"
81;31391950;Backend-разработчик;Омск;;;Ronas IT;2019-10-14T10:15:52+0300;От 3 до 6 лет;Гибкий график;Полная занятость;"Обязанности:  разработка веб-сервисов и приложений.  Требования:  опыт программирования на PHP или NodeJS; опыт работы с базами данных, владение SQL; знание английского языка на уровне чтения технической документации; желание развиваться.    Приветствуется:  опыт с фреймворком Laravel или другими современными фреймворками; опыт работы в команде; опыт программирования на JavaScript или TypeScript; опыт использования Linux; опыт работы с системами контроля версий; опыт проектной работы; умение оценивать задачи и сроки их выполнения.  Условия:  дружеская атмосфера; интересные проекты для различных иностранных компаний; просторный офис в самом центре города, открытый 24/7; свободный рабочий график; возможность совмещать работу и учебу; полный социальный пакет; обучение английскому языку за счет компании; программа компенсации затрат на обеды; программа компенсации медицинских расходов; конкурентная заработная плата.   ";"  дружеская атмосфера; интересные проекты для различных иностранных компаний; просторный офис в самом центре города, открытый 24/7; свободный рабочий график; возможность совмещать работу и учебу; полный социальный пакет; обучение английскому языку за счет компании; программа компенсации затрат на обеды; программа компенсации медицинских расходов; конкурентная заработная плата.   ";Опыт программирования на PHP или NodeJS. Опыт работы с базами данных, владение SQL. Знание английского языка на уровне чтения технической...;Разработка веб-сервисов и приложений.;
55;33669589;Backend-разработчик;Ростов-на-Дону;;;Мависмарт;2019-10-16T11:41:07+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Обязанности:  Разработка нового и доработка текущего функционала проекта (программная платформа SEDMAX для построения автоматизированных систем); Преимущественно это разработка нового REST API (Golang) и поддержка существующей системы на Yii (PHP)  Требования:  Знание PHP 5, Yii или подобных фреймворков, понимание MVC, ООП; Git; Знание следующих технологий будет плюсом: Go (Golang), MongoDB. При отсутствии этих знаний потребуется их освоить в кратчайшие сроки; Готовность к тестовому заданию  Условия:   Оформление по ТК РФ, белая з/п;   Возможность профессионального и карьерного роста;   Офис находится в Новочеркасске (рассматривается удаленная работа)  ";"   Оформление по ТК РФ, белая з/п;   Возможность профессионального и карьерного роста;   Офис находится в Новочеркасске (рассматривается удаленная работа)  ";Знание PHP 5, Yii или подобных фреймворков, понимание MVC, ООП. Git. Знание следующих технологий будет плюсом: Go (Golang), MongoDB. ;Разработка нового и доработка текущего функционала проекта (программная платформа SEDMAX для построения автоматизированных систем). Преимущественно это разработка нового REST API...;
