;id;name;city;min_salary;max_salary;company;published_at;experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
68;33738395;Ведущий программист 1C;Москва;160000.0;160000.0;ТД ТИНКО;2019-10-18T10:40:21+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Обязанности: 1. Участие в проектах: интеграция 1С с сайтом; с базами на SQL; электронный документооборот; взаимодействие со сторонними программами по API; 2. Разработка новой функциональности; 3. Анализ существующего кода, выявление, устранение ошибок; 4. Оптимизация производительности; 5. Консультация пользователей и формализация их требований.Требования:1. Опыт работы с 1С v 8 и программирования от 2 лет; 2. Знание двух и более типовых конфигураций 1С 8.2 или 8.3: УТ, БП, ЗУП; 3. Знание языка запросов, СКД, конвертации данных; 4. Навыки администрирования серверов предприятия и SQL будет плюсом; 5. Ответственность, умение работать в команде; 7. Желательно наличие сертификатов 1С и знание основ бухгалтерского и управленческого учета; 8. Английский язык технический; 9. Образование высшее- специалитет, магистратура (техническое). Условия:График работы с 9.00 до 18.00, пятидневная рабочая неделя (суббота, воскресенье - выходные дни), трудоустройство по ТК, наличие социального пакета, оплата больничных. Программы развития, корпоративные мероприятия. Карьерный и профессиональный рост. Обучение и сертификация.";График работы с 9.00 до 18.00, пятидневная рабочая неделя (суббота, воскресенье - выходные дни), трудоустройство по ТК, наличие социального пакета, оплата больничных. Программы развития, корпоративные мероприятия. Карьерный и профессиональный рост. Обучение и сертификация.;1. Опыт работы с 1С v 8 и программирования от 2 лет. 2. Знание двух и более типовых конфигураций...;"1. Участие в проектах: интеграция 1С с сайтом; с базами на SQL; электронный документооборот; взаимодействие со сторонними программами по...";"1С: Бухгалтерия; 1С: Предприятие 8; SQL; 1С программирование; Английский язык"
99;34016645;Ведущий программист 1C;Санкт-Петербург;120000.0;150000.0;Невская Палитра;2019-10-16T09:55:24+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Обязанности:  Разработка новых модулей на платформе 1С : УТ 10.3, Бухгалтерия 3.0 Разработка/доработка функционала и поддержка конфигураций 1С под бизнес-процессы компании. Выполнение задач по интеграции с другими информационными системами компании. Разработка/доработка отчетов обработок, составление инструкций к своим работам. Управление персоналом ( в подчинении программист 1С) Участие в проектной деятельности , в части автоматизации бизнес-процессов компании  Требования:  Успешный опыт работы в аналогичной должности от 2-х лет. Высшее техническое образование Опыт разработки на платформе 1С (УПП, УТ: 10.3, 1С Зарплата и управление персоналом 2.5./3.0) Понимание основ бухгалтерского и операционного учета компании Приветствуется опыт работы с обменами в форматах:COM– соединение,XML ,JSON. Знание ERP  Условия:  Полностью белая заработная плата, достойный уровень оплаты труда (обсуждается индивидуально в зависимости от опыта и квалификации: оклад + премия); Официальное трудоустройство; График работы понедельник -четверг с 9 час.00 мин. до 18 час.15 мин., пятница - 9 час.00 мин. до 16 час.00 мин.; Служебные командировки; Удобное месторасположение: в пешей доступности от м. Черная речка; Дружный коллектив. ";"  Полностью белая заработная плата, достойный уровень оплаты труда (обсуждается индивидуально в зависимости от опыта и квалификации: оклад + премия); Официальное трудоустройство; График работы понедельник -четверг с 9 час.00 мин. до 18 час.15 мин., пятница - 9 час.00 мин. до 16 час.00 мин.; Служебные командировки; Удобное месторасположение: в пешей доступности от м. Черная речка; Дружный коллектив. ";Успешный опыт работы в аналогичной должности от 2-х лет. Высшее техническое образование. Опыт разработки на платформе 1С (УПП...;Разработка/доработка отчетов обработок, составление инструкций к своим работам. Управление персоналом ( в подчинении <highlighttext>программист</highlighttext> 1С). Участие в проектной деятельности...;"1С: Управление Производственным Предприятием; 1С: Бухгалтерия; 1С: Управление Торговлей; 1С программирование; 1С: Зарплата и управление персоналом"
45;33492888;Ведущий программист 1C;Санкт-Петербург;130000.0;;Возовоз;2019-10-18T14:34:39+0300;От 3 до 6 лет;Полный день;Полная занятость;"В молодую, активно развивающуюся транспортную компанию требуется квалифицированный программист 1С для участия в разработке и внедрении корпоративной информационной системы (КИС) на платформе 1С:Предприятие 8.3 Должностные обязанности:  разработка и внедрение новых подсистем / развитие уже существующих под руководством архитектора системы  Требования:  хорошее знание платформы и механизмов конфигурирования и администрирования 1С:Предприятие 8. опыт разработки интерфейса на управляемых формах; умение быстро разобраться в чужом коде; опыт коллективной разработки программных продуктов на базе 1С:Предприятие;   умение анализировать задачи, предлагать оптимальные варианты решения; высокий уровень ответственности; нацеленность на достижение результата;  Дополнительными преимуществами будут:  опыт работы на крупных проектах, опыт разработки высоконагруженных систем;   опыт оценки и анализа производительности систем на платформе 1С:Предприятие; опыт работы с MS SQL Server; опыт разработки мобильных приложений.  Мы предлагаем:  интересные проекты и задачи; пятидневная рабочая неделя с 9-00 до 18-00; корпоративная мобильная связь; оформление согласно ТК РФ. ";"  интересные проекты и задачи; пятидневная рабочая неделя с 9-00 до 18-00; корпоративная мобильная связь; оформление согласно ТК РФ. ";Хорошее знание платформы и механизмов конфигурирования и администрирования 1С:Предприятие 8. Опыт разработки интерфейса на управляемых формах. ;Разработка и внедрение новых подсистем / развитие уже существующих под руководством архитектора системы.;
