;id;name;city;min_salary;max_salary;company;published_at;experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
74;30318484;Инженер-программист 1С;Челябинск;120000.0;120000.0;Промышленная группа СТРОЙСИСТЕМА;2019-10-16T14:29:06+0300;От 3 до 6 лет;Полный день;Полная занятость;"  Обязанности:  Обновление и изменение конфигураций 1С УПП. Изменение действующих конфигураций 1С УПП под нужды предприятия. Разработка новых документов, отчетов, обработок по техническим заданиям. Консультация пользователей по вопросам работы с программой 1С.  Требования:  Опыт работы от пяти лет - ОБЯЗАТЕЛЬНО! Знание типовых конфигураций: УПП, Бухгалтерия 3.0, Управление торговлей. Производство Желание работать и развиваться, как профессионал; Законченное высшее образование.  Условия:  Работа в стабильной компании, одной из лидеров своей отрасли в Уральском регионе, на рынке с 1974 года; Возможность для профессионального и карьерного роста; Пятидневная рабочая неделя с 08.00-16.45 ч., пятница до 15.30; Оформление согласно ТК РФ; Своевременная выплата заработной платы; Корпоративное питание и медработник на территории завода; ";"  Работа в стабильной компании, одной из лидеров своей отрасли в Уральском регионе, на рынке с 1974 года; Возможность для профессионального и карьерного роста; Пятидневная рабочая неделя с 08.00-16.45 ч., пятница до 15.30; Оформление согласно ТК РФ; Своевременная выплата заработной платы; Корпоративное питание и медработник на территории завода; ";Опыт работы от пяти лет - ОБЯЗАТЕЛЬНО! Знание типовых конфигураций: УПП, Бухгалтерия 3.0, Управление торговлей. Производство. Желание работать и развиваться...;Обновление и изменение конфигураций 1С УПП. Изменение действующих конфигураций 1С УПП под нужды предприятия. Разработка новых документов, отчетов...;
65;33519004;Инженер-программист 1С;Казань;30000.0;110000.0;Группа Компаний Альфа;2019-10-07T10:33:30+0300;От 1 года до 3 лет;Удаленная работа;Полная занятость;"Обязанности:  программирование на 1Сv.8.x (УПП, ERP); доработка типовых и нетиповых конфигураций 1Сv.8x, внесение изменений в типовые и нетиповые конфигурации; участие в проектах автоматизации; анализ ошибок ведения учета и выработка рекомендаций по их исправлению; участие в проекте по разработке и внедрению дополнительных программных модулей в 1С; тестирование разработанного функционала; обучение пользователей работе с разработанными механизмами.  Требования:  владение ПК на уровне программиста; опыт в программировании на 1Сv.8.x; опыт работы в соответствующей должности более 1 года; аналитические способности, нацеленность на результат, самостоятельность.  Условия:  оформление по ТК РФ; своевременная заработная плата; корпоративная мобильная связь; развитая система нематериального стимулирования сотрудников(корпоративные мероприятия, спортивные соревнования); график работы с 8 до 17, СБ,Вс-выходной вахта по городу РАССМАТРИВАЕМ КАНДИДАТОВ НА УДАЛЕННУЮ РАБОТУ ";"  оформление по ТК РФ; своевременная заработная плата; корпоративная мобильная связь; развитая система нематериального стимулирования сотрудников(корпоративные мероприятия, спортивные соревнования); график работы с 8 до 17, СБ,Вс-выходной вахта по городу РАССМАТРИВАЕМ КАНДИДАТОВ НА УДАЛЕННУЮ РАБОТУ ";Владение ПК на уровне <highlighttext>программиста</highlighttext>. Опыт в программировании на 1Сv.8.x. Опыт работы в соответствующей должности более 1...;Программирование на 1Сv.8.x (УПП, ERP). Доработка типовых и нетиповых конфигураций 1Сv.8x, внесение изменений в...;
51;32107468;Инженер-программист 1С;Омск;60000.0;100000.0;«ПОБЕДА» Торговая Группа;2019-10-17T13:43:01+0300;От 3 до 6 лет;Полный день;Полная занятость;"Торговая группа ПОБЕДА - лидер региональной розничной торговли города Омска, приглашает в свою команду, внимательного и исполнительного, настойчивого, умеющего работать в команде и желающего развиваться Инженера-программиста 1С. Обязанности:  Разработка программ на платформе 1С 8.3.  Требования:  Знание основ бухгалтерского и налогового учета; Владение встроенным языком запросов 1С 8; Знание основ программирования и платформы 1С 8; Опыт разработки на базе платформы 1С 8.3 от 2 лет; Умение решать оперативные вопросы с сотрудниками других подразделений (бухгалтерия,отдел кадров); Аналитические способности, системное мышление.  Желательно:  Образование высшее, Опыт сопровождение конфигураций 1C Бух 8.3, 1 С ЗУП 8.3; Специализированные курсы приветствуются.  Условия работы:  Официальная заработная плата, обеспечение социальных гарантий в соответствии с ТК РФ (оплата больничных листов, отпусков, пенсионные отчисления); Командная работа; Уровень заработной платы обсуждается с успешным кандидатом по итогам собеседования; График работы - 5-ти дневная рабочая неделя (с 08.30-17.30 ч.); Льготное питание в столовой офиса; Выдача бонусной карты любимого сотрудника; Профессиональный рост.  Благодарим Вас за интерес, проявленный к нашей Компании. Ваше резюме будет рассмотрено в течение 5-ти рабочих дней. Если за этот период специалист Службы управления персоналом не вышел с Вами на связь, к сожалению, на данный момент, мы не можем Вам сделать предложение о работе, но Ваше резюме будет сохранено в нашей базе данных и если подходящая вакансия появится в последующем, мы предложим ее Вам для рассмотрения.";;Знание основ бухгалтерского и налогового учета. Владение встроенным языком запросов 1С 8. Знание основ программирования и платформы 1С...;Разработка программ на платформе 1С 8.3.;
30;34128066;Инженер-программист 1С;Самара;;;БАКС, Научно-техническая фирма, Самара;2019-10-16T19:51:19+0300;От 1 года до 3 лет;Гибкий график;Частичная занятость;Обязанности: - администрирование, программирование 1С 8 УПП (УПО) - работа с пользователями - доработка программы под нужды пользователей - оптимизация и модернизация компьютерной сети и серверов с учетом возможностей и потребностей организации совместно с системным администратором Требования: - высшее образование - опыт программирования 1С - знание 1С УПП - опыт системного администрирования Условия: - оформление по ТК РФ - полный соцпакет - возможен гибкий график и совмещение - льготная столовая для сотрудников; - оформление по ТК РФ - полный соцпакет - возможен гибкий график и совмещение - льготная столовая для сотрудников;высшее образование. - опыт программирования 1С. - знание 1С УПП. - опыт системного администрирования.;администрирование, программирование 1С 8 УПП (УПО). - работа с пользователями. - доработка программы под нужды пользователей. - оптимизация и модернизация компьютерной сети...;
45;32917156;Инженер-программист 1С;Самара;;;Самараинвестнефть;2019-10-09T07:05:30+0300;От 3 до 6 лет;Полный день;Полная занятость;Обязанности:  Сопровождение, доработка, администрирование конфигураций 1С:Предприятия на платформе версии 8* Разработка новых функциональных блоков для типовых конфигураций на основе технических заданий Консультирование по работе с программными продуктами фирмы 1СКонсультирование Организация обмена между различными конфигурациями 1С:Предприятия Консультирование по работе с программными продуктами фирмы «1С»  Требования:  Высшее профильное образование Опыт работы от 3 лет Хорошее знание платформы 1С:Предприятие 8*, умение ориентироваться в типовых конфигурациях, знание основ бухгалтерского учета Умение работать в команде, перенимать опыт и делиться собственным Опытный пользователь ПК Возможность ездить в командировки  Личностные характеристики:  Внимательность при работе с большим объемом данных Коммуникабельность, доброжелательность Аналитический склад ума Пунктуальность, дипломатичность ;;Высшее профильное образование. Опыт работы от 3 лет. Хорошее знание платформы 1С:Предприятие 8*, умение ориентироваться в типовых конфигурациях...;Сопровождение, доработка, администрирование конфигураций 1С:Предприятия на платформе версии 8*. Разработка новых функциональных блоков для типовых конфигураций на основе...;
