;id;name;city;min_salary;max_salary;company;published_at;experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
84;34102896;Веб-программист;Москва;60000.0;100000.0;РА ЭНЕРДЖИ;2019-10-18T16:46:34+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Обязанности Разработка сайтов и внесение правок в сайты клиентов.  Работа с различными CMS (контент, шаблоны, модули); HTML-верстка; Чтение ТЗ и работа согласно его требованиям; Ведение отчетности о проделанной работе.    Требования:  Среднее техническое образование; Знание HTML, CSS, JavaScript, PHP; Знакомство хотя бы с одной CMS (1C Bitrix, HostCMS); Высокая обучаемость и работоспособность, аналитические навыки, способность быстро осваивать большие объемы информации; Желание развиваться в сфере web-программирования.    Будет плюсом:  Знакомство с SQL. Знакомство с jQuery. Знакомство с Photoshop.    Мы предлагаем:  Стабильная и интересная работа в дружном молодом коллективе; Профессиональный и карьерный рост. Опыт работы с большими объёмами данных, знания и навыки работы c сайтами различного уровня; Конкурентоспособная заработная плата; Оформление по ТК РФ; График работы 5/2 с 10.00 до 19.00; Испытательный срок 2 месяца; Офис в центральном округе, рядом с м. Красносельская, или Бауманская ";"  Стабильная и интересная работа в дружном молодом коллективе; Профессиональный и карьерный рост. Опыт работы с большими объёмами данных, знания и навыки работы c сайтами различного уровня; Конкурентоспособная заработная плата; Оформление по ТК РФ; График работы 5/2 с 10.00 до 19.00; Испытательный срок 2 месяца; Офис в центральном округе, рядом с м. Красносельская, или Бауманская ";Среднее техническое образование. Знание HTML, CSS, JavaScript, PHP. Знакомство хотя бы с одной CMS (1C Bitrix, HostCMS). ;Работа с различными CMS (контент, шаблоны, модули). HTML-верстка. Чтение ТЗ и работа согласно его требованиям. Ведение отчетности о проделанной...;"Веб-программирование; Администрирование сайтов; Веб-дизайн; Создание сайтов; Наполнение контентом; Поисковая оптимизация сайтов; Продвижение сайтов"
70;33462927;Веб-программист;Ростов-на-Дону;45000.0;70000.0;ВебРост;2019-10-04T11:46:16+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Интернет агентство ВебРост входит в ТОП 7 по разработке сайта в г.Ростов-на-Дону. Дата основания - 2003г. Наша компания специализируется на комплексном интернет маркетинге - продвижение бизнеса в интернет и разработке сайтов. Мы работаем с такими клиентами, как РОСТСЕЛЬМАШ, ГАЗПРОМ, МРСК ЮГА, БИЗОН, ГЛОРИЯ ДЖИНС и др. На данный момент два филиала: Ростов-на-Дону и Москва. Основными направлениями деятельности компании являются:  Разработка сайтов; Продвижение сайта в сети интернет Техническая поддержка.  Наша команда расширяется и нам нужен Веб программист. Обязанности:  веб программирование (PHP, Битрикс, Joomla, MODx, Kohana и др.) доработка веб сайтов сайтов Поддержка и создание крупных проектов, командная работа с дизайнером, менеджерами, бэкенд-программистами. Все прелести «взрослой» коммерческой разработки.  Требования:  Знания основ HTML верстки сайтов (HTML CSS JS) Знание PHP Опыт работы с CMS Битрикс и др. CMS работа с git Высшее образование IT образование  Мы ищем людей, которые:  Хотят развиваться профессионально; Могут самостоятельно разобраться в любой проблемы с помощью справки уже имеют оконченное высшее образование и опыт работы в сфере IT;  Обязанности:   Разработка сайтов на CMS 1С-Битрикс, другие CMS, PHP   Доработка существующих проектов   Техническая поддержка сайтов   Мы предлагаем:  Оплата курсов повышения квалификации (до 30000 рублей раз в год.) 5/8, гибкий график прихода-ухода  Дружный коллектив, лояльное руководство, минимум формальностей и бюрократии.   Готовы обсудить индивидуальные условия работы для особо опытных кандидатов.     Ждем ваше резюме. Откликайтесь сейчас!";  Оплата курсов повышения квалификации (до 30000 рублей раз в год.) 5/8, гибкий график прихода-ухода  Дружный коллектив, лояльное руководство, минимум формальностей и бюрократии.   Готовы обсудить индивидуальные условия работы для особо опытных кандидатов.     Ждем ваше резюме. Откликайтесь сейчас!;Знания основ HTML верстки сайтов (HTML CSS JS). Знание PHP. Опыт работы с CMS Битрикс и др. CMS. ;Поддержка и создание крупных проектов, командная работа с дизайнером, менеджерами, бэкенд-<highlighttext>программистами</highlighttext>. Все прелести «взрослой» коммерческой разработки. Разработка сайтов на...;"1С-Битрикс; PHP; Ajax; PHP5; Git; jQuery; MySQL; Bootstrap"
95;33845655;Веб-программист;Екатеринбург;35000.0;60000.0;Media Army;2019-10-01T07:16:33+0300;От 1 года до 3 лет;Полный день;Полная занятость;Ищем web-программиста для разработки проектов на Битриксе в команду Media Army для проектного сотрудничества. ЗадачиВыполнение задач по разработке и поддержке сайтов на системе Битрикс: вёрстка по дизайн-макетам, программирование различного функционала, правка багов, доработки. Уровень профессионализмаЗнание веб-разработки, умение четко и понятно коммуницировать с менеджером проекта, умение решать проблемы за отведённое время, приветствуется знание системы Битрикс и опыт работы с ней. Требования— Знание веб-разработки (PHP, JavaScript, CSS, HTML).— Пунктуальность и умение уложиться в отведённое на задачу время.— Умение понятно и четко коммуницировать в письменной форме.— Аккуратность и педантичность в работе. Условия— Официальное трудоустройство.— Пятидневная рабочая неделя с 9:00 до 18:00.— Офис в центре Екатеринбурга.— Стабильная работа в надежной компании.— Интересные и сложные задачи.;;Уровень профессионализма. Знание веб-разработки, умение четко и понятно коммуницировать с менеджером проекта, умение решать проблемы за отведённое время, приветствуется...;Выполнение задач по разработке и поддержке сайтов на системе Битрикс: вёрстка по дизайн-макетам, программирование различного функционала, правка багов, доработки.;"CSS; JavaScript; MySQL; PHP; HTML; 1С-Битрикс"
33;33934629;Веб-программист;Челябинск;40000.0;;Tian Group;2019-10-05T09:56:59+0300;От 1 года до 3 лет;Полный день;Полная занятость;Обязанности:  Создание веб-сайтов на системах: 1C-Битрикс, NetCat, собственный фреймворк. Взаимодействие с отделом разработки, отделом рекламы и отделом продаж. Поддержка существующих и контроль качества вновь создаваемых веб-сайтов.  Требования:  Знания PHP, xHTML, CSS, JavaScript, mySQL, библиотек и фреймворков. Опыт веб-разработок от 1-го года. Уметь работать в команде, быстро и продуктивно. Уметь самостоятельно находить решение задач, с которыми ранее не приходилось сталкиваться.  Условия:  Постоянная и стабильная работа в офисе в Челябинске. Официальное оформление, рабочее место, оборудовано в соответствии с трудовым кодексом. Уникальный опыт работы в профессиональной команде. Возможность постоянного повышения собственной квалификации, уровня знаний. Режим работы 5 дней в неделю с 09-00 до 18-00. ;  Постоянная и стабильная работа в офисе в Челябинске. Официальное оформление, рабочее место, оборудовано в соответствии с трудовым кодексом. Уникальный опыт работы в профессиональной команде. Возможность постоянного повышения собственной квалификации, уровня знаний. Режим работы 5 дней в неделю с 09-00 до 18-00. ;Знания PHP, xHTML, CSS, JavaScript, mySQL, библиотек и фреймворков. Опыт веб-разработок от 1-го года. Уметь работать в команде...;Создание веб-сайтов на системах: 1C-Битрикс, NetCat, собственный фреймворк. Взаимодействие с отделом разработки, отделом рекламы и отделом продаж. ;"1С-Битрикс; PHP; HTML; JavaScript; CSS; MySQL"
13;34131319;Веб-программист;Челябинск;50000.0;;АРБ-Консалтинг;2019-10-17T08:56:20+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Требования:  Знание PHP, JS, SQL, CSS, HTML5; Знание AJAX, CMS Bitrix, CMS NetCat, основы ООП; Опыт веб-разработки; Умение работать в команде, быстро и продуктивно; Умение самостоятельно находить решение задач, с которыми ранее не приходилось сталкиваться.  Приветствуется:  Знание адаптивной верстки; Опыт использования Git; Желание работать в команде; Знание Framework Yii2; Знание других языков программирования и технологий.  Условия:  Официальное трудоустройство; Пятидневная рабочая неделя; Зарплата обсуждается на собеседовании, исходя из способностей кандидата; Карьерный рост, напрямую связанный с повышением уровня з/п. ";"  Официальное трудоустройство; Пятидневная рабочая неделя; Зарплата обсуждается на собеседовании, исходя из способностей кандидата; Карьерный рост, напрямую связанный с повышением уровня з/п. ";Знание PHP, JS, SQL, CSS, HTML5. Знание AJAX, CMS Bitrix, CMS NetCat, основы ООП. Опыт веб-разработки. ;;"HTML5; JavaScript; PHP5; jQuery; CSS"
46;33883147;Веб-программист;Самара;80000.0;;Гедокорп;2019-10-02T15:00:54+0300;От 1 года до 3 лет;Полный день;Полная занятость;В интернет-агентство Гедокорп требуется веб-программист. Обязанности:  Верстка по макетам Разработка сайтов с нуля Внесение правок и доработка существующих сайтов  Требования:   Хорошее знание PHP, MySQL, Ajax, JavaScript (jQuery) Уверенные знания HTML, CSS Умение разбираться в чужом коде Опыт работы с популярными CMS (1С-Битрикс, Joomla, WordPress, MODx, Opencart, NetCat)  Условия:   Работа в комфортном офисе Чай, кофе, печеньки зарплата в срок ;   Работа в комфортном офисе Чай, кофе, печеньки зарплата в срок ;Хорошее знание PHP, MySQL, Ajax, JavaScript (jQuery). Уверенные знания HTML, CSS. Умение разбираться в чужом коде. Опыт работы с популярными...;Верстка по макетам. Разработка сайтов с нуля. Внесение правок и доработка существующих сайтов.;"PHP; HTML; JavaScript; MySQL; jQuery; CSS; HTML5; CSS3; Ajax; MS SQL; CMS Wordpress; Bootstrap; 1С-Битрикс; SQL"
7;33939926;Веб-программист;Новосибирск;;;Дата Ист;2019-10-19T05:33:01+0300;От 1 года до 3 лет;Полный день;Полная занятость;"  Мы реализуем высокотехнологичные проекты в сфере геоинформационных систем - от мобильных картографических приложений до систем управления геоданными на корпоративном уровне. Программные продукты, информационные системы и решения нашей компании применяются в управлении территориями и природными ресурсами, геологии и геофизике, добыче нефти и газа, управлении городским хозяйством, земельном кадастре, транспортной логистике, в сельском и лесном хозяйстве и многих других сферах деятельности.   Обязанности  разработка статических и динамических веб-приложений на JS/HTML5/CSS3 по принципам SPA и CMS с использованием ГИС.    Требования    уверенные знания HTML5 и CSS3, принципы и приемы responsive-верстки; уверенные знания JavaScript; знание одного или нескольких современных JS-фреймворков; английский язык на уровне чтения технической документации (intermediate).    Условия  работа в команде; 8-часовой рабочий день (начало рабочего дня гибкое, до 10:00); испытательный срок - 1 месяц; официальное трудоустройство, льготы и гарантии по трудовому кодексу, «белая» заработная плата; предоставление отпусков в удобное время (28 дней в год); бесплатная медицинская страховка, которая включает ведущие клиники Новосибирска: ЦНМТ, Академмедикал, Медицинский центр им. Е.Н. Мешалкина, НИИТО, а также сеть Дентал Сервис; мощное железо: Intel Core i7, SSD, 16GB RAM; современный софт: в работе используем Visual Studio 2017, GIT для хранения исходного кода, YouTrack для баг-трекинга и билд-сервер с TeamCity для автоматической сборки исходного кода, ОС и office-пакеты последней линейки; компенсация стоимости занятий в бассейне; уютный и просторный офис, удобные кресла, ароматный кофе и многое-многое другое. ";;Уверенные знания HTML5 и CSS3, принципы и приемы responsive-верстки. Уверенные знания JavaScript. Знание одного или нескольких современных...;Разработка статических и динамических веб-приложений на JS/HTML5/CSS3 по принципам SPA и CMS с использованием ГИС.;"HTML5; CSS3; JavaScript; Английский язык"
63;33545355;Веб-программист;Новосибирск;;;Бизнес и Технологии;2019-10-16T12:44:30+0300;От 3 до 6 лет;Полный день;Полная занятость;В крупную оптовую компанию по продаже напольных покрытий в связи с расширением требуется Веб-специалист. Обязанности:  Разработка функционала, поддержка, контроль и оптимизация существующих проектов, Кастомизация шаблонов компонентов Битрикс, Самостоятельная разработка и доработка проектов (сайт) и сервисов на основе CMS 1C-Битрикс, Разработка посадочных страниц (landing page), Интегрирование сторонних модулей для улучшения работы сайта, Техническое сопровождение и доработка существующих сайтов, Оптимизация сайта с точки зрения юзабилити, Поддержка работоспособности сайта, Пополнение сайта контентом (товары, изображения, слайдеры),  Требования:  Опыт аналогичной работы Высшее образование Энергичность, ответственность, позитивность!   Условия: Трудоустройство согласно ТК, Уровень дохода обсуждается  Офис на правом берегу по линии метро. Комфортный бизнес-центр ; Трудоустройство согласно ТК, Уровень дохода обсуждается  Офис на правом берегу по линии метро. Комфортный бизнес-центр ;Опыт аналогичной работы. Высшее образование. Энергичность, ответственность, позитивность!;Разработка функционала, поддержка, контроль и оптимизация существующих проектов. Кастомизация шаблонов компонентов Битрикс. Самостоятельная разработка и доработка проектов (сайт) и сервисов...;"Пользователь ПК; Internet Marketing; Графические редакторы; Социальные сети"
