;Index;id;name;city;min_salary;max_salary;company;days_from_publication;description;conditions;requirement;responsibility;key_skills;Тюмень;Челябинск;Казань;Екатеринбург;Другие города;experience_Более 6 лет;experience_Нет опыта;experience_От 1 года до 3 лет;experience_От 3 до 6 лет;schedule_Гибкий график;schedule_Полный день;schedule_Сменный график;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость;;Другие навыки
0;33;32370548;Программист в отдел тестирования;Тюмень;1;1;Сервис заказа такси Максим;0.0;"Максим ищет программиста в отдел тестирования в Екатеринбурге, Челябинске, Тюмени, Кургане и Набережных Челнах. Кто мы:- IT-компания, предоставляющая облачное решение в сфере такси.К проекту подключено большое количество компаний, среди которых как мелкие региональные игроки, так и компании с мировым именем, с сотнями городов и десятками стран присутствия. Что у нас есть:Активно меняющийся и развивающийся сервис, находящийся 24/7 под высокой нагрузкой от тысяч операторов и менеджеров, от десятков тысяч клиентов и водителей. Сервис, обслуживающий более миллиона заказов в сутки! Кого мы хотим найти:- человека владеющего одним из современных языков программирования C#, Java, php, Go;- очень желателен опыт работы с sql, Soap, git;- с пониманием что тесты нужны и того какие виды тестирования бывают;- обязательно: быть ответственным, трудолюбивым, писать понятный код и иметь огромное желание развиваться. Что мы предлагаем:- множество интересных задач;- дружелюбный коллектив;- корпоративное обучение;- поездки на it-конференции;- комфортное рабочее место;- компенсацию питания;- бесплатные корпоративные мероприятия (Новый Год, командные выезды и движухи);- уровень заработной платы, который зависит от технических знаний и навыков (+ регулярный пересмотр, если вы растете).";;очень желателен опыт работы с sql, Soap, git. - с пониманием что тесты нужны и того какие виды тестирования бывают. - ;;;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0
1;54;32370489;Программист в отдел тестирования;Челябинск;1;1;Сервис заказа такси Максим;0.0;"Максим ищет программиста в отдел тестирования в Екатеринбурге, Челябинске, Тюмени, Кургане и Набережных Челнах. Кто мы:- IT-компания, предоставляющая облачное решение в сфере такси.К проекту подключено большое количество компаний, среди которых как мелкие региональные игроки, так и компании с мировым именем, с сотнями городов и десятками стран присутствия. Что у нас есть:Активно меняющийся и развивающийся сервис, находящийся 24/7 под высокой нагрузкой от тысяч операторов и менеджеров, от десятков тысяч клиентов и водителей. Сервис, обслуживающий более миллиона заказов в сутки! Кого мы хотим найти:- человека владеющего одним из современных языков программирования C#, Java, php, Go;- очень желателен опыт работы с sql, Soap, git;- с пониманием что тесты нужны и того какие виды тестирования бывают;- обязательно: быть ответственным, трудолюбивым, писать понятный код и иметь огромное желание развиваться. Что мы предлагаем:- множество интересных задач;- дружелюбный коллектив;- корпоративное обучение;- поездки на it-конференции;- комфортное рабочее место;- компенсацию питания;- бесплатные корпоративные мероприятия (Новый Год, командные выезды и движухи);- уровень заработной платы, который зависит от технических знаний и навыков (+ регулярный пересмотр, если вы растете).";;очень желателен опыт работы с sql, Soap, git. - с пониманием что тесты нужны и того какие виды тестирования бывают. - ;;;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0
