;id;name;city;min_salary;max_salary;company;published_at;experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
50;34085080;Senior asp.net developer (Ведущий asp.net разработчик/ C#);Москва;150000.0;300000.0;Аналитические решения;2019-10-18T08:40:35+0300;От 3 до 6 лет;Полный день;Полная занятость;"В связи с развитием новых проектов мы в поисках крутых C# разработчиков, которые любят интересные задачи и готовы покорять новые вершины вместе с нами. Наши продукты - сложные высоконагруженные системы. У нас Вы можете выбрать удобный график работы и иногда работать из дома. Каждый день наши разработчики сталкиваются с интересными задачами: финансовые сервисы, микросервисная архитектура, аналитические и интеграционные системы, машинное обучение, рекомендательные системы, анализ данных, поисковые системы, парсеры и многое другое. В разработке мы используем современные инструменты и методологии - SRCUM, TeamCity для CI\CD, Bitbucket и Git Flow для управления версиями, Jira для управления разработкой и есть своя база знаний на базe Confluense. Если эта вакансия для вас, но у вас недостаточно опыта или больше потребности — напишите об этом в сопроводительном. Рассматриваем кандидатов за рамками вакансии. Что мы предлагаем:  Высокую БЕЛУЮ зарплату и оформление строго по ТК РФ с первого рабочего дня; Разрабатывать продукт, которым ежедневно пользуются тысячи клиентов Разрабатывать архитектурные решения, оптимизировать существующие алгоритмы и процессы; В решении задач использовать широкий стек технологий - .Net Core, C#, ASP.NET, WebAPI, Microservices, RabbitMQ, KAFKA, ElasticSearch, MS SQL Server, PostgreSQL, Vue.js Все, что нужно для комфортной работы:  Современное рабочее место с мощным ноутбуком, вторым монитором и любыми аксессуарами, которые сделают разработку удобной и быстрой; Возможность организовывать и участвовать в meetup встречах на территории офиса; Посещение конференций, например, HighLoad++, DevConf; Медицинское страхование (ДМС, включая стоматологию); Компенсация обедов, бесплатные чай / кофе; Место в основном составе волейбольной команды OTC.RU; Комфортный и креативный офис в БЦ А класса (м. Нагатинская); Лояльное руководство; Прозрачность рабочего процесса, демократичность; Гибкий график и возможность работать из дома при необходимости; Отсутствие дресс-кода.    Чего мы ждем от Вас:  Опыт разработки с использованием C#, ASP.NET MVC от 3 лет; Опыт работы с MSSQL или PostgreSQL от 2 лет; Опыт разработки web приложений от 1 года; Уверенное знание html, css, javascript; Опыт работы с одним из js фреймоворков и пониманием паттернов, которые они используют; Желание и умение работать в команде; Уметь работать с требованиями и оценивать предстоящие задачи; Хороший технический английский. Чтение документации, статей, профессиональных книг на английском; Желание развиваться и развивать продукты, над которыми придется работать; Будет плюсом, если: работали с микросервисами .NET Core / Vue.js     ";;Опыт разработки с использованием C#, ASP.NET MVC от 3 лет. Опыт работы с MSSQL или PostgreSQL от 2 лет. ;Разрабатывать продукт, которым ежедневно пользуются тысячи клиентов. Разрабатывать архитектурные решения, оптимизировать существующие алгоритмы и процессы. Возможность организовывать и участвовать в...;"JavaScript; Git; ASP.NET; MS SQL; C#; SQL; MVC; RabbitMQ; PostgreSQL; Высоконагруженные системы; Микросервисы; KAFKA; Python; NET Core; Vue.js"
59;33959291;JavaScript/JS разработчик;Москва;150000.0;300000.0;Zoon.ru;2019-10-17T09:19:13+0300;От 3 до 6 лет;Полный день;Полная занятость;"О нас Мы IT-компания, миссия которой — облегчить жизнь локальному бизнесу. У нас есть большой проект, внутри которого много сложных задач: мы улучшаем сайт zoon, его мобильную версию, личный кабинет для предпринимателей, CRM для сотрудников и многое другое. Мы не только используем существующие решения, но часто придумываем и внедряем новые. Компания ZOON — компания, которая помогает развиваться локальному бизнесу в России и СНГ. Мы решаем задачи в двух больших сферах: B2B и B2C. Предпринимателям даем все инструменты для продвижения, приводим клиентов, формируем подробную и понятную статистику. Пользователям помогаем выбирать лучшие заведения. Команда В команде frontend-разработки ZOON работают 5 разработчиков разного уровня. Задачи разработчиков описывает тимлид, который получает их напрямую от продуктовых команд: B2B, B2C и монетизации. Сейчас количество интересных и сложных задач увеличилось и нам не хватает опытного специалиста, который смог бы поддерживать существующие проекты в рамках продуктовых задач, развивать и улучшать frontend-часть сайта, а также делиться своей экспертизой с командой. Что предстоит делать:   Участвовать в проектировании и обсуждении архитектурных решений для будущих и существующих проектов;   Разрабатывать компоненты на Vue;   Писать современный JavaScript код;   Проводить рефакторинг существующих проектов;   Участвовать в проектах с налаженными процессами разработки;   Для нас главное — желание быстро и качественно решать задачи, улучшать продукт и любить то, что делаешь.   От нашего кандидата ожидаем:   JS на продвинутом уровне: event loop, closures, lexical environment, особенности this, прототипное наследование, особенности V8, ES6/7;   Знать принцип работы REST-приложения;   Опыт написания Unit тестов;   Опыт работы с Git или другими системами контроля версий;   Владение навыками оптимизации загрузки страницы, в т.ч. решения проблем с reflow и repaint;   Способность работать в команде и высокие коммуникативные навыки;   Умение расставлять приоритеты и самостоятельно доводить задачи до финальной стадии;   Уверенное владение и хороший опыт работы хотя бы с двумя MV*-фреймворками (React.js, Vue.js, AngularJS, Ember.js, Backbone.js, Knockout.js и т.д.);   Базовые знания PHP, четкое понимание принципов ООП.   Что мы можем предложить:   официально оформляем с первого дня работы, выплачиваем полностью белую зарплату. Ее размер зависит от ваших навыков;   обращаемся друг к другу на «ты», ходим на работу в удобной одежде, по утрам едим полезные завтраки, на обед — свежие фрукты и овощи;   оплачиваем половину стоимости ДМС, частично компенсируем стоимость парковки в БЦ «Линкор» и ТРЦ «Авиапарк»;   компенсируем посещение профильных конференций и курсов, предлагаем корпоративные скидки на изучение английского языка в Skyeng;   собираем полезные книги в офисе и даем доступ к электронной библиотеке «Манн, Иванов и Фербер»;   компенсируем 15 тыс. рублей для тех, кто работает в Зуне больше трех месяцев и арендует жилье в 30 минутах ходьбы от офиса. Выплачивать эту сумму будем каждый месяц;   частично компенсируем покупку карты в одном из фитнес-клубов: «Зебра» на улице Красноармейская, «Come on Gym» в ТРЦ «Авиапарк» и «Палестра Sport»;   в офисе есть настольный футбол, дартс и PlayStation 4;   каждый из нас увлечен работой, но мы умеем хорошо отдыхать: отмечаем дни рождения коллег и другие праздники, два раза в год подводим итоги работы и веселимся на больших корпоративах.  ";;JS на продвинутом уровне: event loop, closures, lexical environment, особенности this, прототипное наследование, особенности V8, ES6/7. ;Участвовать в проектировании и обсуждении архитектурных решений для будущих и существующих проектов. Разрабатывать компоненты на Vue. Писать современный JavaScript код. ;"JavaScript; AngularJS; Git; ООП; REST"
49;33895815;Front-end React/Angular Developer;Москва;200000.0;300000.0;Soshace;2019-10-18T09:54:41+0300;От 3 до 6 лет;Удаленная работа;Полная занятость;Soshace is an agency that joins IT professionals and companies all over the world on long-term remote projects since 2015. You’ll get:   Freedom to choose projects and your geography   Safety with regular payments and reliable clients   Self-development on modern projects in tech stack you have experience with.   What our developers think about the work at Soshace: Company that makes remote dev work easy “The great opportunity to work in an international team and get a cool experience. Well, the opportunity to receive a high salary” “Payment is always on time, so you dont have to worry about it. Great projects variety, you can find really interesting projects to be part of” We’ll be a great team together if you have:  3+ years of professional software development experience with JavaScript 1+ year of professional experience with React or Angular version 2 and higher A strong portfolio of projects in which you have taken part Spoken and written English skills on Upper-Intermediate level and higher.  Here are our basic requirements for you to check if you belong:   We use time-tracker to get information on your working hours   Projects last on average 6-9 months and more with a full-time workload   When the first project ends we’ll find you a second one and after that the third and so on   The hourly rate we offer depends on your qualification level: $20-$30 an hour.   Soshace recruitment team would be happy to tell you more about our opportunity when you send us your CV! ;;"Company that makes remote dev work easy&quot;. 3+ years of professional software <highlighttext>development</highlighttext> experience with JavaScript. 1+ year...";Safety with regular payments and reliable clients. We use time-tracker to get information on your working hours. ;"JavaScript; React; Angular2; HTML; CSS; Node.js; Django Framework"
20;33895806;Front-end React/Angular Developer;Санкт-Петербург;200000.0;300000.0;Soshace;2019-10-18T09:54:19+0300;От 3 до 6 лет;Удаленная работа;Полная занятость;Soshace is an agency that joins IT professionals and companies all over the world on long-term remote projects since 2015. You’ll get:   Freedom to choose projects and your geography   Safety with regular payments and reliable clients   Self-development on modern projects in tech stack you have experience with.   What our developers think about the work at Soshace: Company that makes remote dev work easy “The great opportunity to work in an international team and get a cool experience. Well, the opportunity to receive a high salary” “Payment is always on time, so you dont have to worry about it. Great projects variety, you can find really interesting projects to be part of” We’ll be a great team together if you have:  3+ years of professional software development experience with JavaScript 1+ year of professional experience with React or Angular version 2 and higher A strong portfolio of projects in which you have taken part Spoken and written English skills on Upper-Intermediate level and higher.  Here are our basic requirements for you to check if you belong:   We use time-tracker to get information on your working hours   Projects last on average 6-9 months and more with a full-time workload   When the first project ends we’ll find you a second one and after that the third and so on   The hourly rate we offer depends on your qualification level: $20-$30 an hour.   Soshace recruitment team would be happy to tell you more about our opportunity when you send us your CV! ;;"Company that makes remote dev work easy&quot;. 3+ years of professional software <highlighttext>development</highlighttext> experience with JavaScript. 1+ year...";Safety with regular payments and reliable clients. We use time-tracker to get information on your working hours. ;"JavaScript; React; Angular2; HTML; CSS; Node.js; Django Framework"
