;id;name;city;min_salary;max_salary;company;published_at;experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
15;33572917;Ruby On Rails developer;Казань;80000.0;180000.0;Flatstack;2019-10-17T16:04:16+0300;От 1 года до 3 лет;Гибкий график;Полная занятость;"Flatstack - международная IT-компания, создающая программное обеспечение на Ruby on Rails, iOS и Android, с офисами в Казани, Новом Орлеане и Варшаве. Мы работаем над множеством заказов для клиентов США и Европы, и мы приглашаем всех желающих присоединится к нам! Что мы предлагаем:  Серьезно поставленный процесс разработки; Прозрачная отточенная система оценки и карьерного роста; Комфортный уютный офис в центре города и возможность работать удаленно; Регулярное обучение, внутренние тренинги, доступ к платным курсам и книгам; Курсы английского языка, по желанию; Современно оборудованное рабочее место; Официальное трудоустройство: оплачиваемый отпуск, больничные, белая заработная плата; Рост зарплаты вместе с ростом навыков; Ценности компании; Дружный коллектив специалистов; Rebase Demo – посиделки с полезными историями и пиццей; Event-ы компании и вкусняшки на кухне; Скидка в фитнес-клуб (в здании офиса); Проект благодарностей от коллег (Rewards Flatstack) за отличную работу; Брендированная продукция компании; Наличие диплома и военного билета для нас не принципиально.  Дополнительно:  Финансируем покупку личного макбука, если есть желание носить его на работу; Помогаем с релокацией, если хочется переехать в Казань: найти и взять в аренду жильё, поможем с оплатой первых месяцев; Приятная надбавка за стаж работы в компании Набор студентов на стажировку в компанию и возможностью поработать в реальных проектах.  Наши клиенты – это: 1) амбициозные стартапы с идеями, меняющими мир и решающие реальные проблемы: TrailSee, HealthTab, Niko Niko, Bar Notes; 2) компании, которые уже нашли свою нишу и сосредоточены на активном развитии продукта: Roadtrippers, GoGreenRide, DatAvail, Cinetis; 3) состоявшиеся компании с большой базой пользователей, высокой нагрузкой и внушительным доходом, обладающие своей командой разработки, которой нужна помощь: ACL, Williams-Sonoma, Amtrak, KLM/Air France; Если вы любите работать над нестандартными проектами и решать нетривиальные задачи, то вам у нас понравится! От вас требуется:  опыт программирования на Ruby не менее 1 года; тестировать свой код, используя RSpec  Capybara; не бояться работать с legacy кодом и адекватно оценивать необходимость рефакторинга; уметь работать с Linux, любить работать с OS X; уметь читать и писать на техническом английском. ";;Серьезно поставленный процесс разработки. Курсы английского языка, по желанию. Рост зарплаты вместе с ростом навыков. Наличие диплома и военного билета...;Ценности компании. Брендированная продукция компании.;"Ruby On Rails; RSpec; Git; Linux; PostgreSQL; Английский язык; HTML; CSS; XML; SQL; MySQL; ООП; Ajax"
79;33753364;PHP developer;Казань;90000.0;180000.0;Treatstock;2019-10-18T19:38:24+0300;От 3 до 6 лет;Гибкий график;Полная занятость;Наша компания Treatstock растет и мы ищем таланты. Тысячи компаний из США, Европы, и Китая уже использует нашу платформу и технологии Индустрии 4.0 Работая в нашей команде вы можете менять мир, испытать себя в новой области, и дальше развивать свои навыки решения нестандартных задач. Мы работаем над улучшением: наших алгоритмов, технологии прогнозирования производства и защиты интеллектуальной собственности в индустрии. Приглашаем вас попробовать свои силы. Здесь вам предстоит работать со сложными, но интересными задачами в окружении опытных коллег. Добро пожаловать в наш офис в Казани. -------- Требования:Опыт web разработки от 3 лет.Хорошее знание PHP, желательно Yii (Middle or Senior PHP developer).Знание языка запросов SQL и опыт работы с реляционными базами данных (обязателен опыт работы с MySQL).Знание языка JavaScript и технологии AJAX‚ JQuery.Знание HTML, CSS. Владение технологией контроля версий Git.Документирование кода на английском языке.Чтение и перевод технической документации на английском языке.Желание изучать новые технологии и средства разработки. -------- Мы предлагаем: Возможность принять участие в разработке мультинационального продукта меняющего мир. Гибкий график работы. Оплата и бонусы. Работа в современном офисе. Чай/кофе, корпоративные мероприятия и наличие интересных коллег. Открытость идеям и умение слышать.; Возможность принять участие в разработке мультинационального продукта меняющего мир. Гибкий график работы. Оплата и бонусы. Работа в современном офисе. Чай/кофе, корпоративные мероприятия и наличие интересных коллег. Открытость идеям и умение слышать.;Хорошее знание PHP, желательно Yii (Middle or Senior PHP <highlighttext>developer</highlighttext>). Знание языка запросов SQL и опыт работы с реляционными базами...;Документирование кода на английском языке.;"Web Application Development; PHP; Разработка ПО; Веб-программирование; HTML; JavaScript; HTML5; SQL; MS SQL; PostgreSQL; C#; Git; MySQL; PHP5; CSS; jQuery; C++; CSS3; Yii; Bootstrap; Start-up project; Ajax; 3ds Max; API"
29;33903304;Golang developer;Санкт-Петербург;100000.0;180000.0;B2Broker;2019-10-18T12:49:57+0300;От 1 года до 3 лет;Гибкий график;Полная занятость;"Международная компания B2Broker — это финтех, разработчик и провайдер технологий для брокерских компаний, банков и инвестиционных фондов. Мы не занимаемся брокерской деятельностью — но предлагаем законченные решения для других компаний. Над чем предстоит работать:   Системы потоковой обработки данных;   С сервис-ориентированной архитектурой;   И конкурентной обработкой.   Наш идеальный соискатель:  Технически грамотен; Обладает аналитическими навыками; Знает структуры хранения данных и алгоритмы работы с ними; Имеет образование в области прикладной математики или информационных систем; Имеет опыт коммерческой разработки на GoLang; Обладает отличным опытом в применении go-рутин, каналов, мьютексов и wait групп; Имеет опыт разработки с применением концепций: конкуртености, lock-free структур и распределённых систем; Владеет опытом написания Unit и интеграционных тестов (Testing); Имеет опыт работы с различными протоколами обмена информацией; Знает SQL и умеет оптимизировать запросы.  Технологии:  GoLang; Postgres / и др. БД; HTTP(S) / UDP / WebSocket / gRPC; Protobuf / JSON / XML; Docker.  Мы предлагаем:  ЗП без задержек; оформление по ТК РФ; ДМС со стоматологией после испытательного срока; частичная компенсация занятий английского языка с частным преподавателем; неограниченный профессиональный рост и возможность работать в развивающейся международной компании; ресурсы на реализацию идей; работу по гибкому графику в уютном офисе. ";"  ЗП без задержек; оформление по ТК РФ; ДМС со стоматологией после испытательного срока; частичная компенсация занятий английского языка с частным преподавателем; неограниченный профессиональный рост и возможность работать в развивающейся международной компании; ресурсы на реализацию идей; работу по гибкому графику в уютном офисе. ";Технически грамотен. Обладает аналитическими навыками. Знает структуры хранения данных и алгоритмы работы с ними. Имеет образование в области прикладной математики...;Системы потоковой обработки данных. С сервис-ориентированной архитектурой. И конкурентной обработкой.;Golang
6;34137379;Ведущий разработчик .NET;Екатеринбург;100000.0;180000.0;Экстенсив;2019-10-17T11:49:30+0300;От 1 года до 3 лет;Полный день;Полная занятость;Компания Xtensive ищет опытных и талантливых .Net разработчиков в проект ServiceTitan. Немного о проекте и о нас Компания Xtensive уже много лет сотрудничает с компанией ServiceTitan, работая над одноимённым проектом. С каждым годом наше сотрудничество только укрепляется и расширяется, поэтому работая у нас вы в полной мере сможете увидеть и ощутить, каково это создавать продукт, который делает жизнь сотен тысяч людей проще и комфортнее. Работать у нас Интересно   Мы используем самые современные технологии, фреймворки, инструменты и методологии разработки.   Мы любим, хотим и умеем развиваться. Если появляется технология, которая по объективным показателям превосходит то, что у нас используется сейчас, то мы её внедряем. То же самое касается и процессов разработки.   Быстрый рост проекта, а также его размер на данный момент, гарантирует наличие огромного количества сложных и интересных задач. Вам точно не придётся скучать без дела и придумывать себе работу.   Мы умеем слушать и слышать всех участников проекта, вне зависимости от его роли. Каждый может предложить, обосновать и “продать” идею, мысль, процесс, которые будут использованы в масштабе всей большой компании.   Большое количество разноплановых задач, команд и отделов позволяют находить место, где интересно работать именно Вам. Разнообразие задач велико и включает в себя работу над понятным, красивым и удобным пользовательским интерфейсом, сложной и запутанной бизнес-логикой, продумывание архитектуры отдельных компонентов и больших подсистем, настройка и поддержка сложной облачной архитектуры и сервисов, интеграция с разнообразными сторонними сервисами и инструментами, искусственный интеллект и машинное обучение, обработка сложных данных и многое другое.   Мы поощряем стремление развиваться. Если вы хотите “просто делать свою работу”, то наверное, нам не по пути. Проект и компания растут очень быстро, и каждый участник должен двигаться вперёд вместе с ними. Компания поддерживает развитие и готова помогать работнику в его стремлении расти и совершенствоваться. Если вы видите, что на текущем месте ваш рост как профессионала остановился, то просто скажите об этом нам и мы вместе найдём решение.   Работать у нас Удобно   Действительно гибкий рабочий график. Только команда решает, когда и в каком режиме они работают наиболее эффективно. Нам важен результат, а не время, когда вы приходите в офис или открываете ноутбук.   Возможность частичной или полностью удалённой работы. Удалённым работникам мы также можем предложить посетить наш офис в Екатеринбурге для обмена опытом.   Для работающих в офисе у нас созданы комфортные условия, которые удовлетворяют всем современным требованиям. Можно было бы написать про печеньки, теннисный стол, PS, и, конечно, мощные рабочие станции, но мы не будем так банальны. Хотя, всё же написали.   Работа у нас открывает Новые Перспективы   Работая у нас, у вас появляется возможность периодически посещать главный офис компании ServiceTitan в Лос-Анджелесе, США, в рамках командировок. В ходе поездки вы увидите, как работают передовые технологические компании, сможете обсудить любые рабочие вопросы и проекты, а также обменяться опытом и научиться чему-то новому у коллег и сами чему-то их научить.   Если вы действительно ценный специалист и не против значительных перемен в своей жизни ради открытия новых перспектив, мы можем предложить вам возможность оформления рабочей визы в США. Каждый случай рассматривается отдельно, но это не пустые слова, а вполне реальная возможность.   Работать у нас Выгодно   Мы готовы предложить вам трудоустройство в полном соответствии с ТК РФ, полностью официальной заработной платой и полным социальным пакетом.   Конкурентная заработная плата, которая обсуждается по результатам собеседования. Вилка очень гибкая и конкретная цифра зависит лишь от того, как вы себя проявите. Примерный ориентир это 100-180 т.р. в месяц “на руки”.   Кого мы хотим видеть в своей команде Мы верим, что вы - настоящий профессионал, и мы обязательно проверим это на собеседовании, поэтому вместо описания банальных (но от того не менее важных) требований, вроде ответственности, умения работать в команде и прочего, мы просто перечислим некоторые ключевые слова, чтобы вы знали, на что ориентироваться.   Высшее или незаконченное высшее техническое образование.   Хорошее знание английского языка - как минимум, свободное чтение.   Знание классических алгоритмов и структур данных, умение их использовать.   C# , ASP.NET MVC, .Net Core.   SQL (MSSQL или любая другая БД).   HTML5, CSS, JS, React.   Git, unit testing, debugging, profiling, Visual Studio, etc.   Agile, Scrum, Kanban.   Бонус: стек Windows Azure и разработка гибридных приложений на Apache Cordova.  ;;Высшее или незаконченное высшее техническое образование. Хорошее знание английского языка - как минимум, свободное чтение. Знание классических алгоритмов и структур данных...;;
17;33814609;Фронтенд разработчик в блокчейн компанию;Москва;120000.0;180000.0;Endpass, Inc;2019-10-18T17:20:51+0300;От 3 до 6 лет;Удаленная работа;Полная занятость;"Команда Endpass ищет талантливого Javascript фронтенд разработчика на удаленную работу. Endpass - новый стартап в сфере blockchain. Разрабатываем платформу идентификации на блокчейн. Идея уникальная и очень перспективная. Работа интересная и разнообразная. Мы работаем с последними frontend и блокчейн технологиями: HTML5, Vue, nuxt.js, SASS, Webpack, Ethereum, web3.   Требования:    Отличное знание Javascript, от ES5 до ES2017 3+ года опыт работы веб-разработчика Опыт работы с как минимум одним из популярных JS фреймворков: React, Vue, Angular Понимание принципов интерфейс дизайна, UI/UX и CSS3 Опыт работы с системы контроля версии Git Навыки работы с Unix/ Linux Понимание тестирования по методологии TDD Способность читать и писать документацию на английском    Плюсы:    Опыт разработки сложных, больших приложений Опыт работы с системой сборки Webpack Базовое знание криптовалют, Ефириум и блокчейн технологий, смарт-контрактов Опыт удаленной работы в распределенной команде    Условия:    Гиб​кий график работы из дома; Стабильная заработная плата: оклад + бонус; Нет испытательного срока, сразу начинаем с полной зарплатой; Реальные пе​рспективы профессионального роста.    Уважаемые кандидаты! Мы будем очень рады читать Ваши сопроводительные письма с указанием релевантного опыта работы и примеров кода.";"    Гиб​кий график работы из дома; Стабильная заработная плата: оклад + бонус; Нет испытательного срока, сразу начинаем с полной зарплатой; Реальные пе​рспективы профессионального роста.    Уважаемые кандидаты! Мы будем очень рады читать Ваши сопроводительные письма с указанием релевантного опыта работы и примеров кода.";3+ года опыт работы веб-<highlighttext>разработчика</highlighttext>. Опыт работы с как минимум одним из популярных JS фреймворков: React, Vue, Angular. ;;"JavaScript; Vue.js; Linux; SCSS"
97;34073415;Веб-разработчик / Web developer;Москва;120000.0;180000.0;FUSION CORE;2019-10-17T14:15:50+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Fusion Core - игровая студия, активно развивающаяся на международном рынке социальных и мобильных ММО стратегий. Мы являемся разработчиками нескольких популярных игр, каждая из которых вошла в лидеры игровых проектов Рунета и Facebook. Задачи, которые предстоит решать:   Разрабатывать игровой сайт и игровой портал;   Разрабатывать различные игровые сервисы: сервисы уведомлений, транзакций и другие;   Разрабатывать функционал взаимодействия с социальными сетями (fb, steam, vk, od, mm,..);   Заниматься интеграцией рекламных, платежных контрагентов;   Участвовать в разработке проекта игровой аналитики;   Настраивать и анализировать мониторинг проектов (Kibana, Grafana, Prometheus);   Проводить код-ревью, участвовать в технических обсуждениях.       Для работы понадобится:   PHP. Желателен опыт работы с одним из популярных фреймворков (Yii / Phalcon);   HTML, CSS, JS (кроссплатформенная верстка);   TypeScript, ReactJS / Vue.js (базовое понимание);   Желателен опыт разработки на Node.js;   Базовые навыки администрирования Linux (Ubuntu). Желателен опыт работы с Docker и Nginx;   Математическое / техническое образование;   Опыт работы на аналогичной позиции - от 1 года.   Мы предлагаем:   Комфортный офис в центре Москвы;   Классный коллектив и неформальная обстановка;   Помощь в релокации;   Кофе, фрукты, снеки, кальяны и игровые консоли в зоне отдыха и корпоративные вечеринки каждый месяц;   Возможность профессионального обучения за счет компании (закупка литературы, курсы, посещение конференций, митапов и тд);   100% компенсация заработной платы на время больничного;   Ежегодное премирование;   Гибкая система отгулов;   Расширенный ДМС-полис (включая стоматологию);   Полностью официальное оформление;   График 10.00 - 19.00 (удаленка не рассматривается)   В вакансии прописана нижняя граница зарплатной вилки!  ";"   Комфортный офис в центре Москвы;   Классный коллектив и неформальная обстановка;   Помощь в релокации;   Кофе, фрукты, снеки, кальяны и игровые консоли в зоне отдыха и корпоративные вечеринки каждый месяц;   Возможность профессионального обучения за счет компании (закупка литературы, курсы, посещение конференций, митапов и тд);   100% компенсация заработной платы на время больничного;   Ежегодное премирование;   Гибкая система отгулов;   Расширенный ДМС-полис (включая стоматологию);   Полностью официальное оформление;   График 10.00 - 19.00 (удаленка не рассматривается)   В вакансии прописана нижняя граница зарплатной вилки!  ";Для работы понадобится: PHP. Желателен опыт работы с одним из популярных фреймворков (Yii / Phalcon). HTML, CSS, JS (кроссплатформенная верстка). ;Разрабатывать игровой сайт и игровой портал. Разрабатывать различные игровые сервисы: сервисы уведомлений, транзакций и другие. Разрабатывать функционал взаимодействия с социальными...;"Web Application Development; backend; frontend; PHP; JavaScript; Linux; Nginx"
5;29326091;Программист .Net;Казань;130000.0;180000.0;Бизнес-Партнер;2019-10-17T10:08:01+0300;От 3 до 6 лет;Полный день;Полная занятость;"Обязанности: Разработка расширения для Visual Studio Разработка программного продукта на С #; Программирование нового функционала, проектирование и рефакторинг существующего кода; Проведение тестирования, разработка интеграционных и unit тестов; Требования: - Опыт .Net Framework от 3х лет (минимум 2 года)- Отличное понимание .Net Будут плюсами:- Unit тестирование- Continuous Integration- .Net Core   Условия: Возможность работать над уникальной технологией, в компании, которая является обладателем международного патента. Один из проектов, которыми занимается компания - это создание уникальной открытой модульной платформы (Open Source Eco-System), представляющей полноценную электронную систему, миниатюризированную до размера электронного чипа (SoC - System on Chip), к которой можно подключить большое количество сенсоров, и которая способна сохранить в себе необходимое количество информации в случае внеплановой изоляции от внешнего мира, чтобы в момент восстановления связи беспроводным способом передать накопленную и считываемую информацию на мобильный телефон, BLE / Wi-Fi передатчик и / или в облачную базу данных.      "; Возможность работать над уникальной технологией, в компании, которая является обладателем международного патента. Один из проектов, которыми занимается компания - это создание уникальной открытой модульной платформы (Open Source Eco-System), представляющей полноценную электронную систему, миниатюризированную до размера электронного чипа (SoC - System on Chip), к которой можно подключить большое количество сенсоров, и которая способна сохранить в себе необходимое количество информации в случае внеплановой изоляции от внешнего мира, чтобы в момент восстановления связи беспроводным способом передать накопленную и считываемую информацию на мобильный телефон, BLE / Wi-Fi передатчик и / или в облачную базу данных.      ;Опыт .Net Framework от 3х лет (минимум 2 года). - Отличное понимание .Net. - .Net Core.;Разработка расширения для Visual Studio. Разработка программного продукта на С #. Программирование нового функционала, проектирование и рефакторинг существующего кода. ;
13;32920451;Senior PHP разработчик / веб программист;Санкт-Петербург;140000.0;180000.0;НаПоправку.ру;2019-10-18T11:31:40+0300;От 3 до 6 лет;Полный день;Полная занятость;"НаПоправку.ру - крупнейший медицинский онлайн-сервис в Петербурге и один из ключевых игроков в Москве. Для нас важно, что каждый день десятки тысяч людей в нашей стране могут решить свои проблемы со здоровьем, благодаря нашей работе. Мы хотим сделать медицину проще и дружелюбнее, изменив то, как люди выбирают врача и взаимодействуют с ним. Сейчас мы развиваем уникальный сервис реал-тайм записи для быстрой и удобной записи на прием к хорошему врачу онлайн. Впереди - мобильное приложение, телеконсультации и другие онлайн-сервисы, которые помогают быстрее решать проблемы со здоровьем. Мы ищем в команду опытного бэкэнд разработчика, который предпочитает возможности и драйв нового проекта предсказуемой карьере в крупной корпорации. Главные задачи на ближайший год   Разработать новую архитектуру базы данных и подготовить проект к высоким нагрузкам;   Перевести проект на микросервисную архитектуру;   Разработать REST API для мобильного приложения (IOS, Android);   Это вакансия для вас, если вы   Имеете большой опыт работы с мейнстрим PHP-фреймворками и MySQL;   Будет преимуществом опыт работы с NoSQL (Memcached/Redis/MongoDB/Tarantool), очередями, high load проектами;   Хотите не просто писать код, а делать классный продукт, который будет помогать людям и даже спасать жизни;   Умеете быстро разбираться в чужом коде и конструктивно с ним работать;   Не можете уснуть, пока не найдете решение для новой каверзной задачки.   Перед нами стоят различные задачи, как по бекенду, так и по фронтенду. Одно из важных требований к кандидатам - высокий уровень понимания, как устроено взаимодействие между ними - для успешного выполнения наших продуктовых задач. Нам хочется найти в свою команду специалиста мыслящего в терминах time to market, то есть чтобы новые фичи доходили до прода, как можно быстрее, а не застревали в тестировании. Мы за здоровый баланс между жизнью и работой. Завершить работу вовремя и пойти домой к семье - всегда в приоритете. Тем не менее, мы все работаем на результат - поэтому спринты должны заканчиваться к запланированному сроку. Вы всегда сами можете принять взвешенное решение, стоит ли сегодня задержаться, чтобы успеть в срок. Почему Вам надо идти к нам   Социально значимый проект, о котором можно с гордостью рассказать даже бабушке;   Много интересных и нестандартных технических задач;   Широкое поле для инициативы;   Молодая, веселая и динамичная команда единомышленников.   Приятные мелочи   Белая зарплата, размер обсуждается с успешным кандидатом;   Оплачиваемое профессиональное развитие – книги, онлайн курсы, семинары и конференции;   Фрукты, снеки, чай и кофе; возможность заказа ужина в офис и корпоративного такси для тех, кто задерживается на работе;   Гибкое начало рабочего дня;   Веселые корпоративы.  ";;Имеете большой опыт работы с мейнстрим PHP-фреймворками и MySQL. Будет преимуществом опыт работы с NoSQL (Memcached/Redis/MongoDB/Tarantool...;Разработать новую архитектуру базы данных и подготовить проект к высоким нагрузкам. Перевести проект на микросервисную архитектуру. Разработать REST API для...;"ООП; NoSQL; MySQL; JavaScript; PHP; Redis; Highload; Zend Framework; Laravel; Memcached"
31;34007418;Инженер-разработчик C#;Москва;150000.0;180000.0;Detego;2019-10-18T15:59:45+0300;От 3 до 6 лет;Гибкий график;Полная занятость;"Detego - это инновационная компания, ведущий поставщик RFID-решений для сектора розничной торговли. Наши продукты позволяют повысить эффективность управления товарными запасами, а также взаимодействия с покупателями. Среди клиентов, над глобальными проектами которых мы работаем, - adidas, Levi’s, Estée Lauder, Marc O’Polo и другие. Ожидайте работу над уникальными проектами на стыке программных и аппаратных решений. Компания имеет головной офис в Лондоне, Великобритания, а также офис разработки в городе Грац, Австрия. С целью усиления технологического потенциала мы открыли офис разработки и клиентской поддержки в городе Москве и приглашаем вас присоединиться к нашей международной команде. Ваша область ответственности:   Проектирование, спецификация и реализация высокопроизводительных распределенных программных систем и приложений для крупных компаний с мировым именем; Активное участие в разработке клиент-серверных приложений по гибкой методологии.  Ваш профиль:   Уверенное владение .NET (C#, WCF, .NET Core, Entity Framework); Опыт интеграции и создания REST API; Хорошее знание реляционных баз данных, преимущественно Microsoft SQL; Преимуществом будет знание облачных технологий (Azure); Преимуществом будет опыт frontend-разработки (Angular, JavaScript, CSS); Абстрактное мышление и тяга к новым технологиям; Умение понятно излагать сложные концепции и идеи письменно и устно; Способность общаться в мультикультурной среде (желательно знание английского языка хотя бы на уровне intermediate).  Мы предлагаем:  Достойную денежную компенсацию; Интересный проект со сложными и разнообразными задачами; Простые и понятные пути решения возникающих вопросов; Современную технику для работы; Комфортабельный современный офис в центре Москвы в пешей доступности от метро; Возможны командировки, в том числе длительные (Европа, США); Прекрасные возможности для развития в молодой и динамично-растущей компании; Отличный шанс повысить свой уровень английского (либо немецкого, при желании); Возможность поучаствовать в становлении нового технологического рынка; Поддержку и всестороннее обучение. ";"  Достойную денежную компенсацию; Интересный проект со сложными и разнообразными задачами; Простые и понятные пути решения возникающих вопросов; Современную технику для работы; Комфортабельный современный офис в центре Москвы в пешей доступности от метро; Возможны командировки, в том числе длительные (Европа, США); Прекрасные возможности для развития в молодой и динамично-растущей компании; Отличный шанс повысить свой уровень английского (либо немецкого, при желании); Возможность поучаствовать в становлении нового технологического рынка; Поддержку и всестороннее обучение. ";Уверенное владение .NET (C#, WCF, .NET Core, Entity Framework). Опыт интеграции и создания REST API. Хорошее знание реляционных баз данных...;Проектирование, спецификация и реализация высокопроизводительных распределенных программных систем и приложений для крупных компаний с мировым именем. Активное участие в разработке...;".NET Framework; C#; WCF; Entity Framework; MS SQL; Английский язык; AngularJS; MS Visual Studio; ASP.NET; Git; JavaScript"
83;33603287;Front-end разработчик;Москва;;180000.0;Finch;2019-10-18T19:27:56+0300;От 1 года до 3 лет;Удаленная работа;Полная занятость;О компании: Finch — аутсорс-продакшн. Мы запускаем и развиваем высоконагруженные мобильные и веб-приложения для брендов с большой аудиторией. Среди наших клиентов: ТНТ, ФК Спартак, ТВ-3, Столото и другие бренды. Аудитория наших приложений — от 500 тыс. до 5 млн. зарегистрированных пользователей. Нам интересно делать крупные, наполненные функциями, качественные продукты, работать с большой аудиторией, развивать свою экосистему, выстраивать внутренние процессы. Обязанности:   Участие в разработке проектов компании   Программирование JavaScript   Верстка HTML5/CSS3   Требования:   Хорошее знание HTML5/CSS3.   Хорошее знание нативного JavaScript (классы, декораторы, async/await).   Понимание и использование на практике стандартов es6, es7.   Базовые знания Node.js и умение пользоваться npm/yarn   Хорошее знание библиотек и фреймворков экосистемы React: ReactRouter, Redux, NextJs, Styled Components, Redux-saga   Умение собирать проект с помощью webpack.   Опыт работы с системами контроля версий, предпочтительно Git.   Уверенное знание технологий RESTful API/Websocket, языка запросов GraphQL   Желание учится новым технологиям и использованию новых языков программирования.   Понимание методологии БЭМ. Представление о работе изоморфного SPA приложения  Знание технологий CORS, представление о вопросах сетевой безопасности (CSRF)    Условия:   Работа над проектами с крупной аудиторией (несколько млн. пользователей)   Оплата труда в зависимости от твоего уровня   Собственный двухэтажный офис с двориком в пешей доступности от м. Электрозаводская   Возможность самореализации и профессионального роста   Отсутствие бюрократии   Время начала рабочего дня обговариваем индивидуально  ;   Работа над проектами с крупной аудиторией (несколько млн. пользователей)   Оплата труда в зависимости от твоего уровня   Собственный двухэтажный офис с двориком в пешей доступности от м. Электрозаводская   Возможность самореализации и профессионального роста   Отсутствие бюрократии   Время начала рабочего дня обговариваем индивидуально  ;Хорошее знание HTML5/CSS3. Хорошее знание нативного JavaScript (классы, декораторы, async/await). Понимание и использование на практике стандартов...;Участие в разработке проектов компании. Программирование JavaScript. Верстка HTML5/CSS3.;"React; JavaScript; CSS3; HTML5; Git; Node.js; SPA"
