;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
18;Программист Python;Тюмень;60000.0;120000.0;Оранж Рокетс;2019-09-20T16:14:43+0300;1;3;Полный день;Полная занятость;В связи с увеличением задач нам нужны помощники в команду разработчиков.Обязанности:  Участие в разработке серверной части мобильного приложения.  Требования:  Знание языка Python и фреймворка Django Хорошее знание SQL и опыт работы с PostgreSQL Желательно:  Опыт работы с AWS      Условия:  Гибкий график Работа в просторном офисе в центре    Хочешь разрабатывать интересные и нужные приложения? Мы тебя ждем!;  Гибкий график Работа в просторном офисе в центре    Хочешь разрабатывать интересные и нужные приложения? Мы тебя ждем!;Знание языка Python и фреймворка Django. Хорошее знание SQL и опыт работы с PostgreSQL. Желательно: Опыт работы с AWS.;Участие в разработке серверной части мобильного приложения.;"Python; Django Framework; Git; PostgreSQL; ООП"
58;Программист Python;Тюмень;70000.0;110000.0;Тензор;2019-10-07T08:15:54+0300;1;3;Полный день;Полная занятость;"Тензор – крупная российская IT-компания. Наш основной продукт – СБИС – сеть деловых коммуникаций. СБИС объединяет людей и компании, системы управления и учета, бизнес-процессы и документы в одной системе. Систему СБИС придумали, создали и постоянно совершенствуют почти 1500 разработчиков в 11 центрах разработки. У нас есть фанаты дата-майнинга, эксперты в разработке кроссплатформенных приложений и высоконагруженных систем, разработчики мобильных, настольных и веб-приложений, специалисты по обработке, анализу и хранению больших массивов данных. Мы ищем людей, способных реализовывать крупные проекты от идеи до “продакшена”. Присоединившись к нашей команде, у вас будет возможность усовершенствовать систему СБИС. Результатом вашей работы будут пользоваться более миллиона людей – на компьютерах, планшетах и смартфонах. Мы не работаем под заказ, мы создаем тиражные продукты. Используемый стек технологий: C++, Python, PostgreSQL, Javascript, NodeJS, Redis, ElasticSearch, Clickhouse. Вам не нужно знать буквально все наши технологии. Нужна светлая голова и страстное желание работать. Делать лучший продукт в России. Мы будем рады узнать о наличии у вас:  опыта разработки на указанных выше ЯП или любом диалекте SQL; способности чувствовать «красоту кода»; опыта командной разработки; профильного (ИТ/инженерного) образования; желания развиваться – как вместе с нами, так и самостоятельно.    Мы предлагаем:  заработная плата в зависимости от квалификации и уровня ответственности; оформление по ТК РФ; премии от 5 до 20% по итогам работы за месяц; социальные гарантии; ДМС после года работы в компании; спортивные программы; корпоративные праздники и различные совместные мероприятия. ";"  заработная плата в зависимости от квалификации и уровня ответственности; оформление по ТК РФ; премии от 5 до 20% по итогам работы за месяц; социальные гарантии; ДМС после года работы в компании; спортивные программы; корпоративные праздники и различные совместные мероприятия. ";Опыта разработки на указанных выше ЯП или любом диалекте SQL. Способности чувствовать «красоту кода». Опыта командной разработки. Профильного (ИТ/инженерного...;;"SQL; Python; PostgreSQL"
18;Программист Python;Ижевск;;;Ижевский нефтяной научный центр;2019-10-04T21:51:02+0300;1;3;Полный день;Полная занятость;"Обязанности:  Участие в полном цикле разработки продукта; Проектирование и разработка сервисов связи с внешними системами; Unit-тестирование и code-ревью.  Требования: - Высшее профессиональное (ИТ) образование - Опыт коммерческой разработки на Python от 2-х лет; - Хорошие знания принципов ООП и основных шаблонов проектирования; - Опыт работы с MySQL и/или PostgreSQL; - Опыт работы с Linux; - Знания JavaScript и знакомство с современными JS фреймворками; - Исполнительность, целеустремленность, ответственность за результат, внимание к деталям Условия:  Достойная заработная плата (по результатам собеседования) Ежемесячная премия по итогам работы Годовой бонус по итогам работы Социальный пакет (ДМС, страхование от несчастных случаев, сан-курортное оздоровление, детские путевки) ";  Достойная заработная плата (по результатам собеседования) Ежемесячная премия по итогам работы Годовой бонус по итогам работы Социальный пакет (ДМС, страхование от несчастных случаев, сан-курортное оздоровление, детские путевки) ;Высшее профессиональное (ИТ) образование. - Опыт коммерческой разработки на Python от 2-х лет. - Хорошие знания принципов ООП и основных шаблонов...;Участие в полном цикле разработки продукта. Проектирование и разработка сервисов связи с внешними системами. Unit-тестирование и code-ревью.;
