;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
11;Ведущий программист 1С;Тюмень;53000.0;;ГК ТюмБИТ;2019-10-08T08:07:20+0300;1;3;Полный день;Полная занятость;С каждым днем объём работы в нашей организации увеличивается, поступают интересные и разносторонние задачи. Мы готовы принять в свою команду профессионала своего дела на взаимовыгодных условиях. Ваш отклик может стать началом долгого и выгодного сотрудничества. Основные задачи:  Разработка нового функционала на платформе 1С по техническим заданиям Анализ программного кода, доработка, адаптация типовых конфигураций под требования заказчиков Разработка внешних печатных форм, отчетов и обработок, расширений Оценка и соблюдение трудозатрат и сроков по выполняемым работам, участие в подготовке технических заданий Обновление доработанных конфигураций  Мы ищем специалиста с:  Образованием: высшее/ неполное высшее Знанием основ программирования на платформе 1С Опытом работы программистом от 1 года Стремлением к профессиональному росту Высокой работоспособностью и стрессоустойчивостью Умением работать в коллективе  Мы предлагаем:  Интересные и разносторонние задачи Стабильная‚ официальная‚ конкурентоспособная заработная плата Оформление по ТК РФ Уютный офис в центре города Молодой и дружный коллектив из профессионалов своего дела Возможности обучения и сертификации для сотрудников компании Корпоративные мероприятия   ;  Интересные и разносторонние задачи Стабильная‚ официальная‚ конкурентоспособная заработная плата Оформление по ТК РФ Уютный офис в центре города Молодой и дружный коллектив из профессионалов своего дела Возможности обучения и сертификации для сотрудников компании Корпоративные мероприятия   ;Знанием основ программирования на платформе 1С. Опытом работы <highlighttext>программистом</highlighttext> от 1 года. Стремлением к профессиональному росту. Высокой работоспособностью и...;Разработка нового функционала на платформе 1С по техническим заданиям. Анализ программного кода, доработка, адаптация типовых конфигураций под требования заказчиков. ;"1С программирование; 1С: Бухгалтерия; 1С: Предприятие 8; 1С: Зарплата и управление персоналом; 1С: Управление Торговлей; 1С: Документооборот; 1С: Зарплата и кадры; Программное обеспечение; Управление проектами"
24;Ведущий программист 1С;Ижевск;70000.0;;Баланс-сервис, Ижевск;2019-09-13T07:18:10+0300;3;6;Полный день;Полная занятость;"Для нас важно:  Имеющийся отличный навык программирования в среде 1С; Хорошее знание типовых конфигураций 1С; Знание предметных областей учета: бухгалтерского, управленческого, производственного, налогового, торговой деятельности. Если нет – подадим руку помощи в изучении; Желание развиваться.  Что нужно делать:  Участвовать в проектах по автоматизации крупных предприятий и холдингов по внедрению комплексных систем на базе 1С; Заниматься разработкой согласно ТЗ. Мы обучим, если будет необходимость, мы подскажем, если будут вопросы и мы дадим все необходимые материалы для выполнения поставленной задачи.  Что мы ожидаем увидеть в тебе:  Желание зарабатывать и получать бесценный опыт; Организованность, ответственность и самостоятельность; Умение излагать информацию на понятном языке; Умение общаться с заказчиком;    Почему стоит идти именно к нам:    Мы соблюдаем ТК РФ без вариантов! Принимаем в штат официально, оплачиваем больничные и отпуска, выплачиваем официально и платим налоги. Мы обучаем, сертифицируем и повышаем квалификацию бесплатно; Мы тщательно следим за тем, чтобы ВЫ выросли внутри компании карьерно, денежно, профессионально и лично; Мы компенсируем сотовую связь; У нас удобный современный офис в центре города; У нас работают лучшие сотрудники и руководители; У нас стабильно и надежно – компания существует 18 лет и 1С дает нам долгосрочные перспективы развития; Наш график пятидневка, но есть возможность гибкого подхода; У нас всегда чай, кофе, печенье на нашей кухне.  Мы рады отклику, и если мы Вас не убедили здесь – убедим лично!     ";;"Имеющийся отличный навык программирования в среде 1С. Хорошее знание типовых конфигураций &quot;1С&quot;. Знание предметных областей учета: бухгалтерского, управленческого...";Участвовать в проектах по автоматизации крупных предприятий и холдингов по внедрению комплексных систем на базе 1С. Заниматься разработкой согласно...;
94;Ведущий программист 1С;Ижевск;80000.0;;1С-ИжТиСи;2019-10-07T09:23:22+0300;3;6;Полный день;Полная занятость;"Обязанности:  Участие в роли программиста в команде разработчиков на проектах:   внедрений программных продуктов на 1С; доработки корпоративных систем Крупных корпоративных заказчиков; оптимизации конфигураций; оптимизации информационных систем заказчика; интеграции с внешними системами (1С, не 1С, интернет - сервисы); разработки коробочных решений; смены редакции; технического аудита конфигураций (документация по доработкам, оптимизация, вынос функционала в расширения); свертки больших ИБ; разработки мобильного приложения; создания спарок решений.  Кто наши заказчики: - компании из топ-1000 крупнейших компании России; - Фирма 1С.   Основные конфигурации, с которыми работаем:  1С:ERP, 1C:УПП, 1С:КА; 1С:УТ, 1С:Розница; 1С:БП; 1C:ЗУП; 1С:Документооборот, 1С:CRM.  Требования:  опыт работы программистом с конфигурациями 1С от 3 лет; хорошее знание типовых механизмов платформы 8.2/8.3; умение писать код под тонкого/web клиента; умение пользоваться конвертацией данных; написание технического задания; опыт работы в команде, управление группой специалистов.    Приветствуются:  опыт работы с MS SQL; знание БСП; знание основ учета: бухгалтерского, заработной платы, на производстве, складского учета; наличие сертификатов; опыт управления проектами.  Мы предлагаем:  оклад от 80 т.р.; пятидневная рабочая неделя. С 9:00 до 18:00. Возможна корректировка в +/- по времени начала и окончания; оформление по ТК РФ; молодой дружный коллектив; интересные задачи и постоянное профессиональное развитие; уютный офис в центре города: обеденная, комнаты для переговоров, зона отдыха, учебный класс и многое другое; разнообразная культурная корпоративная программа; адекватные руководители; нет прямого общения с Заказчиками.    Готовы к индивидуальному обсуждению условий сотрудничества, в случае если описание вакансии не полностью соответствует вашему профилю навыков.";"  оклад от 80 т.р.; пятидневная рабочая неделя. С 9:00 до 18:00. Возможна корректировка в +/- по времени начала и окончания; оформление по ТК РФ; молодой дружный коллектив; интересные задачи и постоянное профессиональное развитие; уютный офис в центре города: обеденная, комнаты для переговоров, зона отдыха, учебный класс и многое другое; разнообразная культурная корпоративная программа; адекватные руководители; нет прямого общения с Заказчиками.    Готовы к индивидуальному обсуждению условий сотрудничества, в случае если описание вакансии не полностью соответствует вашему профилю навыков.";Опыт работы <highlighttext>программистом</highlighttext> с конфигурациями 1С от 3 лет. Хорошее знание типовых механизмов платформы 8.2/8.3. ;Участие в роли <highlighttext>программиста</highlighttext> в команде <highlighttext>разработчиков</highlighttext> на проектах: Внедрений программных продуктов на 1С. Доработки корпоративных систем Крупных корпоративных...;
57;Ведущий программист 1С;Ижевск;85000.0;;МИЛКОМ;2019-10-09T15:21:50+0300;1;3;Полный день;Полная занятость;В ОАО «МИЛКОМ», в связи С РАСШИРЕНИЕМ ШТАТА, требуется программист 1С.МИЛКОМ - это стабильно развивающееся предприятие (6 площадок в Удмуртии, Пермском крае, Татарстане), занимающее 4-ое место среди переработчиков молока в РФ. Наша цель - стать национальной компанией №1. Производственные площадки оборудованы современными линиями по глубокой переработке сырья и ежегодно наращивают объемы производства.Мы ищем энергичных, активных, инициативных и позитивно настроенных кандидатов. Главные требования:• опыт программирования в системе 1С 8.х от 2-х лет• хорошее «качество» и высокая скорость написания кода•  приветствуется наличие сертификатов 1С и базовых знаний бухгалтерского учета, производственного учета, планирования• приветствуется опыт конфигурирования и участие в проектах внедрения конфигурации 1С ERP 2.х В зону ответственности будет входить:•  устранение проблем в работе информационных систем на базе 1С• реализация изменений в информационных системах 1С по согласованным техническим заданиям• поддержка пользователей• участие в рабочих совещаниях и рабочих группах компании по системам автоматизации 1С и связанных с ними бизнес-процессов Что готовы предложить Вам:• работа в крупном агропромышленном холдинге• официальное трудоустройство, согласно ТК РФ• официальная заработная плата два раза в месяц• график работы: 5/2 (понедельник-пятница) с 8.30 до 17.20• компенсация сотовой связи• полис ДМС• льготные цены в столовой• служебный автобус по городу• ежегодная индексация ЗП• посещение тематических конференций (инфостарт и т.п.) за счёт работодателя• обучение и сертификация за счёт компании• премии по факту закрытия крупных проектов по автоматизации Мы благодарим каждого соискателя на данную должность, который направит нам свое резюме! Ваше резюме будет рассмотрено в кратчайшие сроки.На собеседования будут приглашены кандидаты, максимально соответствующие заявленным в вакансии требованиям к профессиональному опыту и знаниям.;;Опыт программирования в системе 1С 8.х от 2-х лет. Хорошее «качество» и высокая скорость написания кода. ;Устранение проблем в работе информационных систем на базе 1С. Реализация изменений в информационных системах 1С по согласованным техническим...;"ERP; 1С программирование; 1С: Предприятие 8; SQL; MS SQL"
42;Ведущий программист 1С;Ижевск;120000.0;;Содружество, Группа компаний;2019-10-10T11:16:59+0300;1;3;Полный день;Полная занятость;"Группа компаний Содружество в связи с активным развитием приглашает на работу Программистов 1С !  Мы ищем профессионалов в своей сфере. Если Вы любите и умеете решать сложные задачи, хотите развиваться в сфере программирования и разработки 1С - отправляйте резюме! Группа компаний Содружество оказывает активную поддержку при переезде в Калининградскую область. Так же мы являемся участниками программы Повышения Трудовой Мобильности!   ОБЯЗАННОСТИ:  Разработка нового функционала или доработка имеющегося в корпоративных информационных системах на базе 1С:Предприятие 8.3:; Выполнение предпроектного исследования объекта автоматизации. ; Анализ и уточнение требований. Их формальное описание и регистрация. ; Оценка трудоемкости реализации требований. Календарное планирование разработки. ; Разработка, тестирование и отладка и рефакторинг программного кода на 1С:Предприятие 8.3. ; Внедрение программного кода в рабочую среду. Подготовка сборки для внедрения.; Разработка системы прав и полномочий пользователей. ; Интеграция 1С с другими информационными системами.; Документирование изменений в функционале системы.; Консультирование пользователей, по разрабатываемому функционалу.  ТРЕБОВАНИЯ:  Знания и навыки конфигурирования и программирования в среде 1С:Предприятие 8; Знание БСП, Конвертации данных 2.0 или 3.0; Навыки разработки сложных отчетов на СКД; Опыт работы в качестве программиста 1С с платформой 1С:Предприятие 8 от 2-х лет; Опыт участия в проектах разработки ПО от 1-го года; Умение коммуницировать с бизнес-заказчиком, нацеленность на удовлетворение требований бизнеса.    МЫ ГАРАНТИРУЕМ:  Стабильную и разноплановую загрузку в крупной международной компании. Возможности для профессионального и карьерного развития. Своевременную выплату КОНКУРЕНТНОЙ ЗАРАБОТНОЙ ПЛАТЫ. Оформление и ведение отношений в соответствии с ТК РФ. График работы пятидневная рабочая неделя с 9:00 до 18:00. Полный социальный пакет согласно ТК РФ. Обучение. Доставка служебным транспортом.   ";;"Навыки разработки сложных отчетов на СКД. Опыт работы в качестве <highlighttext>программиста</highlighttext> 1С с платформой &quot;1С:Предприятие 8&quot; от...";"Разработка нового функционала или доработка имеющегося в корпоративных информационных системах на базе &quot;1С:Предприятие 8.3&quot;:. Выполнение предпроектного исследования...";
23;Ведущий программист 1С;Тюмень;;;ГЕОТЕК Сейсморазведка;2019-10-11T09:26:09+0300;3;6;Полный день;Полная занятость;Обязанности: - Доработка конфигураций 1С Документооборот, 1С Консолидация (блок Казначейство) под задачи компании - Участие в новых проектах компании Требования:  Высшее техническое образование Опыт работы от 3 лет Отличное знание платформы 1С 8 Хорошие навыки программирования на управляемых формах Понимание принципов ведения документооборота компании в области закупок, работы с поставщиками Личностные качества: коммуникабельность, способность переключаться между различными задачами  Желательно: - Наличие сертификата 1С специалист по платформе 1С Предприятие 8 - Опыт разработки web-сервисов - Знание особенностей конфигураций: 1С Документооборот, 1С:Консолидация - Опыт автоматизации общих центров обслуживания Условия:  Официальное трудоустройство по ТК РФ, соц.гарантии Официальная белая заработная плата- размер обсуждается индивидуально Пятидневная рабочая неделя с 8-30 до 17-30 Офис в центре города, на территории имеется столовая для сотрудников Корпоративная мобильная связь ;  Официальное трудоустройство по ТК РФ, соц.гарантии Официальная белая заработная плата- размер обсуждается индивидуально Пятидневная рабочая неделя с 8-30 до 17-30 Офис в центре города, на территории имеется столовая для сотрудников Корпоративная мобильная связь ;Высшее техническое образование. Опыт работы от 3 лет. Отличное знание платформы 1С 8. Хорошие навыки программирования на управляемых формах. ;Доработка конфигураций 1С Документооборот, 1С Консолидация (блок Казначейство) под задачи компании. - Участие в новых проектах компании.;1С: Предприятие 8
