;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
29;Android разработчик;Тюмень;50000.0;200000.0;Сервис заказа такси Максим;2019-10-11T14:20:37+0300;1;3;Полный день;Полная занятость;"Кто мы: - IT-компания, предоставляющая облачные решения в сфере такси. К нашим сервисам подключено большое количество компаний, среди которых как мелкие региональные игроки, так и компании с мировым именем, с сотнями городов и десятками стран присутствия.   Что у нас есть: - сложный высоконагруженный сервис с миллионами пользователей по всему миру и более 12 миллионов установок в Google Play.   Мы хотим найти человека, который: - знает ООП и структуры данных, понимает принципы SOLID; - имеет опыт разработки на Java или Kotlin для Android; - знает Android SDK, понимает архитектуру Android; - имеет опыт работы с Android Studio, Gradle; - знаком с принципами Material Design; - имеет опыт работы с системами контроля версий Git; - работал с SQL базами данных;   Будем большим плюсом, если: - есть опубликованные Android-приложения (Google Play); - есть опыт коммерческой разработки под Android.   Что мы предлагаем: - множество интересных задач, в решении которых вы можете принять полноправное участие; - дружелюбный коллектив профессионалов; - корпоративное обучение; - поездки на it-конференции; - комфортное рабочее место; - компенсацию питания; - бесплатные корпоративные мероприятия (Новый Год, командные выезды и движухи); - уровень заработной платы, который зависит от технических знаний и навыков (регулярные пересмотры при повышении результатов и качества работы).";;Мы хотим найти человека, который: - знает ООП и структуры данных, понимает принципы SOLID. - имеет опыт разработки на Java или Kotlin...;;
55;Android разработчик;Тюмень;;130000.0;Минт Рокет;2019-10-08T09:39:30+0300;1;3;Удаленная работа;Полная занятость;"Требования:  Опыт разработки приложений под Android; Понимание принципов ООП и паттернов проектирования; Знание одного из следующих языков: Java, Kotlin; Опыт работы с мобильными ORM (Realm, GreenDAO, Room); Опыт работы с Git; Опыт разработки мобильных клиент-серверных приложений; Умение эффективно использовать сторонние библиотеки; Умение работать в команде; Умение и желание писать чистый и понятный код;  Будет плюсом:  Наличие проектов/кода на GitHub; Наличие опубликованных проектов в Google Play.  Что мы предлагаем:  Работа над крупными проектами для отечественных и иностранных заказчиков; Вы сможете увидеть результаты своей работы практически сразу после выполнения задачи, почувствовать себя действительно важным участником проекта, от работы которого зависит успех всей компании; В зависимости от вашего опыта, возможностей и амбиций мы можем предложить, как простые, так и задачи архитектурного и инфраструктурного характеров; Коллеги, открытые к коммуникациям, которые помогут в работе и адаптации на новом месте; Пятидневная рабочая неделя: с 9:00 до 18:00 (по согласованию можно менять график); Изучение новых технологий на практике; Интересные и сложные задачи; Возможность роста и курирования IT проектов; Кофе, печеньки;   ";;Опыт разработки приложений под Android. Понимание принципов ООП и паттернов проектирования. Знание одного из следующих языков: Java, Kotlin. ;Работа над крупными проектами для отечественных и иностранных заказчиков.;"Android; Kotlin; Java; Unit Testing; Git; Clean Architecture; RxJava; Dagger"
64;Android разработчик;Тюмень;30000.0;100000.0;Строительный Двор;2019-10-07T07:52:54+0300;1;3;Гибкий график;Полная занятость;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам!Мы любим web и у нас всегда есть интересные задачи! Требования:  высшее / неполное высшее образование (техническое / IT); знание основ программирования под Android; английский язык на уровне чтения и понимания документации; ответственность, нацеленность на результат; желание изучать язык программирования ABAP.  Обязанности:   поддержка/доработка существующей функциональности; поддержка и доработка интерфейсов связи со внешними системами; участие в разработке новой функциональности; оптимизация кода; поддержка пользователей системы.  Условия:  официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.    Стань частью нашей команды !Мы ждём твоё резюме!";"  официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.    Стань частью нашей команды !Мы ждём твоё резюме!";Высшее / неполное высшее образование (техническое / IT). Знание основ программирования под Android. Английский язык на уровне чтения и понимания документации. ;Поддержка/доработка существующей функциональности. Поддержка и доработка интерфейсов связи со внешними системами. Участие в разработке новой функциональности. Оптимизация кода. ;"Android; Java; HTML; XML; HTTP; ABAP"
