;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
66;Java-разработчик;Тюмень;30000.0;120000.0;Строительный Двор;2019-10-07T07:52:54+0300;1;3;Полный день;Полная занятость;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам!Мы любим web и у нас всегда есть интересные задачи! Общие требования:  опыт коммерческой разработки (не менее 1 года); опыт командной работы.  Требования к стеку:  Java; Spring Framework (Boot, REST, Data-JPA); PostgreSQL.  Будет плюсом:  знание Docker, Kubernetes; опыт коммерческой разработки с использованием Spring; опыт разработки микросервисов; приверженность к чистому коду и к чистой архитектуре; опыт работы с системами управления версий; умение тестировать код (JUnit, Mockito); желание учиться, развиваться, решать бизнес задачи.  Обязанности:  проектирование, разработка, внедрение и сопровождение проектов компании с использованием технологического стека Java, Spring.  Условия:  Официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска, за год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";"  Официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска, за год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";Опыт коммерческой разработки (не менее 1 года). Опыт командной работы. Java. Spring Framework (Boot, REST, Data-JPA). PostgreSQL. ;Проектирование, разработка, внедрение и сопровождение проектов компании с использованием технологического стека Java, Spring.;"Java; Spring Framework; PostgreSQL; Hibernate; Mockito; JUnit; Docker; Kubernetes"
91;Frontend-разработчик;Тюмень;50000.0;120000.0;Креатив;2019-10-01T15:13:13+0300;1;3;Полный день;Полная занятость;"Уникальный совместный проект Creative и РБК (РосБизнесКонсалтинг) - офис разработки продуктов для ведущего мультимедийного холдинга России в Тюмени. Мы создаем классные продукты федерального масштаба находясь в любимом городе. В связи с расширением команды нам нужны разработчики TypeScript/JavaScript. О проекте: Сбор и хранение в электронном виде русскоязычной периодики. Ежедневно в базу СМИ загружается более 100 тыс. новых документов. Перед нами стоит задача разработки новых продуктов и сервисов с использованиемтехнологий машинного обучения и обработки текстов, а также развития и модернизации системы хранения и поиска информации. Технологический стек: TypeScript, React, Mobx или Redux. Обязанности:  Разработка на TypeScript + Mobx или Redux. Обеспечение качества путем участия в code review и написания unit-тестов.  Требования:  опыт программирования на JavaScript или TypeScript; навыки написания юнит-тестов; умение работать с application state с использованием Mobx и/или Redux; навыки работы c git.  Условия:  опытная команда неравнодушных людей (в офисе сейчас более 50 человек); полностью оборудованное рабочее место; комфортный офис, такого вы еще не видели; демократичный стиль управления в компании (всегда можно обсудить и внедрить идеи, оптимизацию); оплата всегда стабильно и вовремя. ";"  опытная команда неравнодушных людей (в офисе сейчас более 50 человек); полностью оборудованное рабочее место; комфортный офис, такого вы еще не видели; демократичный стиль управления в компании (всегда можно обсудить и внедрить идеи, оптимизацию); оплата всегда стабильно и вовремя. ";Опыт программирования на JavaScript или TypeScript. Навыки написания юнит-тестов. Умение работать с application state с использованием Mobx и/или...;Разработка на TypeScript + Mobx или Redux. Обеспечение качества путем участия в code review и написания unit-тестов.;"JavaScript; TypeScript; Mobx; Redux; Git"
97;Flutter-разработчик;Тюмень;50000.0;120000.0;Креатив;2019-10-01T15:13:06+0300;1;3;Полный день;Полная занятость;"Уникальный совместный проект Creative и РБК (РосБизнесКонсалтинг) - офис разработки продуктов для ведущего мультимедийного холдинга России в Тюмени. Создавать классные продукты федерального масштаба находясь в любимом городе стало реальностью. Среди проектов: удобные инструменты для чтения прессы, поиска и совместной работы с информацией; системы для создания и управления дайджестами, продукты для автоматизации и ускорения оцифровки старых изданий и добавления их на медиа-ресурсы. В связи с расширением команды разработки мобильных приложений нам нужны разработчики на Flutter. Новая популярная технология уверенными шагами захватывает рынок и сердца программистов. Мы готовы помочь в обучении. Необходим только смежный опыт разработки. Обязанности:  Разрабатывать мобильное приложение на Flutter. Обеспечивать качество путем участия в code review и написанияавтоматизированных тестов.  Требования:  желание освоить программирование на Flutter/Dart; минимальный опыт разработки на Flutter или Dart, это может бытьхобби-проект; опыт разработки на других языках программирования; опыт нативной разработки для Android или iOS, либо кросс-платформеннойразработки на ReactNative будет плюсом.  Условия:  опытная команда неравнодушных людей (в офисе сейчас более 50 человек); полностью оборудованное рабочее место; комфортный офис, такого ты еще не видел; демократичный стиль управления в компании (всегда можно обсудить и внедрить идеи, оптимизацию); оплата всегда стабильно и вовремя. ";"  опытная команда неравнодушных людей (в офисе сейчас более 50 человек); полностью оборудованное рабочее место; комфортный офис, такого ты еще не видел; демократичный стиль управления в компании (всегда можно обсудить и внедрить идеи, оптимизацию); оплата всегда стабильно и вовремя. ";Желание освоить программирование на Flutter/Dart. Минимальный опыт разработки на Flutter или Dart, это может быть. Хобби-проект. ;Разрабатывать мобильное приложение на Flutter. Обеспечивать качество путем участия в code review и написания. Автоматизированных тестов.;"Flutter; Dart; Android; iOS"
10;Программист 1С (разработчик);Ижевск;50000.0;120000.0;АйТиГрупп;2019-10-10T10:13:29+0300;3;6;Полный день;Полная занятость;"Обязанности:  Разработка нового отраслевого решения на платформе 1С:Предприятие 8; Участие в основных технических этапах разработки ПО: Проектирование / Кодирование / Тестирование и отладка;  Требования:  Владение платформой 1С:Предприятие 8 на высоком профессиональном уровне; Опыт работы программистом 1С (специалистом по внедрению / сопровождению 1С) от 3 лет; Высшее (неоконченное высшее) образование приветствуется; Творческий подход к решению задач;  Условия:  Возможность прикоснуться к большому и светлому: разработке нового отраслевого решения; Возможность забыть про общение с пользователями: разработчики не общаются с пользователями (совсем); Возможность почувствовать себя великим творцом: создание нового продукта предполагает творческий подход; Возможность забыть про однообразные и скучные задачи: разработка большого не бывает однообразной и скучной;  Описание:  Мы приступили к разработке нового (а для нас - очередного) отраслевого решения. И нам нужны разработчики, которым интересна действительно большая и сложная работа по созданию ПРОДУКТА. Нужны уставшие от мелких и однообразных задач. От неадекватных пользователей. От рутины... Идея, которой мы вдохновлены, крайне амбициозна. Опыт, накопленный за десятки лет работы в области автоматизации, позволяет нам четко формулировать задачи, совместно с разработчиками заниматься проектированием и архитектурой нашего ПРОДУКТА. Вдохновляемся крутыми задачами и ценим красивые решения. Если тебе всё это близко - вливайся! ";"  Возможность прикоснуться к большому и светлому: разработке нового отраслевого решения; Возможность забыть про общение с пользователями: разработчики не общаются с пользователями (совсем); Возможность почувствовать себя великим творцом: создание нового продукта предполагает творческий подход; Возможность забыть про однообразные и скучные задачи: разработка большого не бывает однообразной и скучной;  Описание:  Мы приступили к разработке нового (а для нас - очередного) отраслевого решения. И нам нужны разработчики, которым интересна действительно большая и сложная работа по созданию ПРОДУКТА. Нужны уставшие от мелких и однообразных задач. От неадекватных пользователей. От рутины... Идея, которой мы вдохновлены, крайне амбициозна. Опыт, накопленный за десятки лет работы в области автоматизации, позволяет нам четко формулировать задачи, совместно с разработчиками заниматься проектированием и архитектурой нашего ПРОДУКТА. Вдохновляемся крутыми задачами и ценим красивые решения. Если тебе всё это близко - вливайся! ";"Владение платформой &quot;1С:Предприятие 8&quot; на высоком профессиональном уровне. Опыт работы <highlighttext>программистом</highlighttext> 1С (специалистом по внедрению / сопровождению 1...";"Разработка нового отраслевого решения на платформе &quot;1С:Предприятие 8&quot;. Участие в основных технических этапах разработки ПО: Проектирование / Кодирование / Тестирование...";
18;Программист Python;Тюмень;60000.0;120000.0;Оранж Рокетс;2019-09-20T16:14:43+0300;1;3;Полный день;Полная занятость;В связи с увеличением задач нам нужны помощники в команду разработчиков.Обязанности:  Участие в разработке серверной части мобильного приложения.  Требования:  Знание языка Python и фреймворка Django Хорошее знание SQL и опыт работы с PostgreSQL Желательно:  Опыт работы с AWS      Условия:  Гибкий график Работа в просторном офисе в центре    Хочешь разрабатывать интересные и нужные приложения? Мы тебя ждем!;  Гибкий график Работа в просторном офисе в центре    Хочешь разрабатывать интересные и нужные приложения? Мы тебя ждем!;Знание языка Python и фреймворка Django. Хорошее знание SQL и опыт работы с PostgreSQL. Желательно: Опыт работы с AWS.;Участие в разработке серверной части мобильного приложения.;"Python; Django Framework; Git; PostgreSQL; ООП"
34;Разработчик баз данных;Тюмень;70000.0;120000.0;Сервис заказа такси Максим;2019-10-11T14:20:37+0300;1;3;Полный день;Полная занятость;"Максим ищет разработчиков в Екатеринбурге, Челябинске, Тюмени, Кургане и Набережных Челнах. Кто мы: - IT-компания, предоставляющая облачные решения в сфере такси. К нашим сервисам подключено большое количество компаний, среди которых как мелкие региональные игроки, так и компании с мировым именем, с сотнями городов и десятками стран присутствия. Что у нас есть: Активно меняющийся и развивающийся сервис, находящийся 24/7 под высокой нагрузкой от тысяч операторов и менеджеров, от десятков тысяч клиентов и водителей. Сервис, обслуживающий более миллиона заказов в сутки. Кого мы хотим найти: - человека с хорошей теоретической подготовкой в области баз данных, имеющего опыт использования и разработки под MSSQL или PostgreSQL (готовы рассмотреть опыт с другими СУБД, если вы готовы учиться :) ); - желателен опыт работы с веб-технологиями; - желателен опыт командной разработки; - обязательно: быть ответственным, трудолюбивым, писать понятный код и иметь огромное желание развиваться и делать реально полезные вещи. Что мы предлагаем: - множество интересных задач; - дружелюбный коллектив; - корпоративное обучение; - поездки на it-конференции; - комфортное рабочее место; - компенсацию питания; - бесплатные корпоративные мероприятия (Новый Год, командные выезды и движухи); - уровень заработной платы, который зависит от технических знаний и навыков (+ регулярный пересмотр, если вы растете).";;человека с хорошей теоретической подготовкой в области баз данных, имеющего опыт использования и разработки под MSSQL или PostgreSQL (готовы рассмотреть...;;
8;Программист 1С/Разработчик 1С;Ижевск;;120000.0;Лаэрта;2019-10-10T12:59:17+0300;1;3;Удаленная работа;Полная занятость;Обязанности:  Опыт работы в среде 1С 8.2 \ 8.3 в режиме УФ не менее 3-х лет. Предметное понимание автоматизации на базе решений 1С таких выидов учета как бухгалтерский \ налоговый \ управленческий учет , учет заработной платы. Готовность к самостоятельной работе и постоянному развитию навыков  Требования:  Навыки в разработке сложных отчетов на СКД, Интеграционных решений на базе типовых механизмов платформы Наличие сертификатов 1С:Специалист по платформе, 1С:Эксперт Опыт успешного участия в проектах по внедрению 1С: Управление Холдингом, 1С:ERP Опыт работы в компаниях - партнерах 1С  Условия:  Оформление ТК РФ Испытательный срок 3 мес Обучение и сертификация за счет компании Возможны командировки ;  Оформление ТК РФ Испытательный срок 3 мес Обучение и сертификация за счет компании Возможны командировки ;Опыт работы в среде 1С 8.2 \ 8.3 в режиме УФ не менее 3-х лет. ;;
88;Программист web-разработчик (backend/frontend);Тюмень;40000.0;110000.0;Креатив;2019-10-01T15:13:39+0300;1;3;Полный день;Полная занятость;"Обязанности:  Программирование и поддержка сайтов (отдельно backend, отдельно frontend, либо full-stack).  Требования к стеку:   Backend:  PHP 5 и 7, 1С Битрикс Управление сайтом, Yii, Laravel. SQL: реляционные базы данных, составление запросов, MySql (MariaDb, PerconaDb). Серверное окружение: LAMP, nginx + php-fpm + mysql. Html-верстка: html5, css3, кроссбраузерная верстка (webkit, gecko, ie = 10), Пользовательские скрипты: javascript (ECMAScript 6), jquery. Git-репозитории.  Frontend:  JavaScript, es6, Sass/Stylus, Pug, Gulp/Webpack, Git-репозитории, именования по БЕМу, Фреймворки Angular/React/Vue Хорошо если Node.js  Плюсы к карме:  Опыт коммерческой разработки; Опыт настройки и администрирования серверного ПО.  Условия:  Работа в офигенном офисе, иногда можно из дома; Масштабные и интересные проекты (90% МСК, Питер, зарубежье); Развитие за счет компании (английский прямо в офисе, пятничные лекции, посещение крупных конференций, внутреннее обучение и т.п.); Помощь команды; Проектная работа через систему Битрикс24; Оборудованное рабочее место, необходимая литература, кофе, чай, сахар, греча, крупы; Отсутствие дресс-кода, можно ходить в домашних тапочках, как многие и делают. ";"  Работа в офигенном офисе, иногда можно из дома; Масштабные и интересные проекты (90% МСК, Питер, зарубежье); Развитие за счет компании (английский прямо в офисе, пятничные лекции, посещение крупных конференций, внутреннее обучение и т.п.); Помощь команды; Проектная работа через систему Битрикс24; Оборудованное рабочее место, необходимая литература, кофе, чай, сахар, греча, крупы; Отсутствие дресс-кода, можно ходить в домашних тапочках, как многие и делают. ";"PHP 5 и 7, 1С Битрикс &quot;Управление сайтом&quot;, Yii, Laravel. SQL: реляционные базы данных, составление запросов, MySql (MariaDb, PerconaDb). ";Программирование и поддержка сайтов (отдельно backend, отдельно frontend, либо full-stack).;"PHP; 1С-Битрикс; Yii; Laravel; JavaScript; jQuery; HTML; CSS; SQL; ReactJS; AngularJS; VueJS; Git; ООП; Symfony"
53;Middle Android разработчик;Тюмень;60000.0;110000.0;Этажи, федеральная компания;2019-10-09T11:03:02+0300;1;3;Полный день;Полная занятость;"Компания Этажи с 2000 года помогает клиентам найти оптимальное решение при поиске недвижимости, а также, предоставляет комплекс услуг, которые помогут безопасно оформить сделку.Ежемесячно к нам обращаются два миллиона клиентов с вопросами по работе с недвижимостью, а услугами компании пользуются в 8 странах и 87 городах. В компанию Этажи входит ИТ-подразделение ООО ESoft, где команды разрабатывают внутренние сервисы и автоматизированные системы. В подразделении есть разработчики, тестировщики, тех.поддержка, менеджеры продуктов и системные аналитики, всего 130 человек.В команде мобильной разработки 12 человек, они разрабатывают мобильное приложение на IOS и Android. Мы хотим усилить команду новыми разработчиками. Стек используемых технологий в команде Android: Kotlin/Java, RxJava/RxKotlin, Moxy, ObjectBox. У вас получится, если вы:   разрабатываете для платформы Android от 2 лет   уверенно знаете Kotlin/Java, Android SDK   работали с RxJava/RxKotlin, Moxy, JSON, REST API   знакомы с Google Play Services, Firebase   умеете работать с Git и пишете unit тесты   знаете, что значит работать по Agile в продуктовой команде   Мы ищем разработчика, который:   примет участие в разработке клиентского приложения и внутренних сервисов;   примет участие в создании компонентов, будет рефакторить и улучшать текущие решения   сможет создавать новый функционал и принимать участие в развитии CI инфраструктуры   сможет обмениваться опытом, обсуждать и предлагать решения, принимать участие в развитии продукта   сможет попробовать на практике современные технологии и подходы к разработке приложений под Android   Мы предлагаем:   гибкий график работы по согласованию с командой   возможность посещения профильных конференций и обучений за счет компании   профессиональный и карьерный рост, курирования IT проектов   офис возле ТРЦ «Солнечный», на работу — без пробок :)   уровень заработной платы, который зависит от ваших технических знаний и навыков (оклад + задачи по KPI, бонусы за реализованные проекты)  ";   гибкий график работы по согласованию с командой   возможность посещения профильных конференций и обучений за счет компании   профессиональный и карьерный рост, курирования IT проектов   офис возле ТРЦ «Солнечный», на работу — без пробок :)   уровень заработной платы, который зависит от ваших технических знаний и навыков (оклад + задачи по KPI, бонусы за реализованные проекты)  ;Стек используемых технологий в команде Android: Kotlin/Java, RxJava/RxKotlin, Moxy, ObjectBox. Разрабатываете для платформы Android от 2 лет. ;Мы хотим усилить команду новыми <highlighttext>разработчиками</highlighttext>. Примет участие в создании компонентов, будет рефакторить и улучшать текущие решения. Сможет создавать новый...;
58;Программист Python;Тюмень;70000.0;110000.0;Тензор;2019-10-07T08:15:54+0300;1;3;Полный день;Полная занятость;"Тензор – крупная российская IT-компания. Наш основной продукт – СБИС – сеть деловых коммуникаций. СБИС объединяет людей и компании, системы управления и учета, бизнес-процессы и документы в одной системе. Систему СБИС придумали, создали и постоянно совершенствуют почти 1500 разработчиков в 11 центрах разработки. У нас есть фанаты дата-майнинга, эксперты в разработке кроссплатформенных приложений и высоконагруженных систем, разработчики мобильных, настольных и веб-приложений, специалисты по обработке, анализу и хранению больших массивов данных. Мы ищем людей, способных реализовывать крупные проекты от идеи до “продакшена”. Присоединившись к нашей команде, у вас будет возможность усовершенствовать систему СБИС. Результатом вашей работы будут пользоваться более миллиона людей – на компьютерах, планшетах и смартфонах. Мы не работаем под заказ, мы создаем тиражные продукты. Используемый стек технологий: C++, Python, PostgreSQL, Javascript, NodeJS, Redis, ElasticSearch, Clickhouse. Вам не нужно знать буквально все наши технологии. Нужна светлая голова и страстное желание работать. Делать лучший продукт в России. Мы будем рады узнать о наличии у вас:  опыта разработки на указанных выше ЯП или любом диалекте SQL; способности чувствовать «красоту кода»; опыта командной разработки; профильного (ИТ/инженерного) образования; желания развиваться – как вместе с нами, так и самостоятельно.    Мы предлагаем:  заработная плата в зависимости от квалификации и уровня ответственности; оформление по ТК РФ; премии от 5 до 20% по итогам работы за месяц; социальные гарантии; ДМС после года работы в компании; спортивные программы; корпоративные праздники и различные совместные мероприятия. ";"  заработная плата в зависимости от квалификации и уровня ответственности; оформление по ТК РФ; премии от 5 до 20% по итогам работы за месяц; социальные гарантии; ДМС после года работы в компании; спортивные программы; корпоративные праздники и различные совместные мероприятия. ";Опыта разработки на указанных выше ЯП или любом диалекте SQL. Способности чувствовать «красоту кода». Опыта командной разработки. Профильного (ИТ/инженерного...;;"SQL; Python; PostgreSQL"
