;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
89;Инженер-конструктор/программист;Ижевск;30000.0;45000.0;ИжСпецМаш;2019-10-07T15:39:14+0300;1;3;Полный день;Полная занятость;Обязанности: Моделирование: 1.штампов 2.пресс форм 3. нестандартного оборудования.Требования:  ОБЯЗАТЕЛЕН НАВЫК РАБОТЫ С 3D моделированием! знание программы SIEMENS NX, КОМПАС  Условия:  официальное трудоустройство ;  официальное трудоустройство ;ОБЯЗАТЕЛЕН НАВЫК РАБОТЫ С 3D моделированием! Знание программы SIEMENS NX, КОМПАС.;Моделирование: 1.штампов. 2.пресс форм. 3. нестандартного оборудования.;SIEMENS NX
81;Инженер-программист 1С;Ижевск;44000.0;44000.0;Увадрев-Холдинг;2019-10-07T08:20:37+0300;1;3;Полный день;Полная занятость;Обязанности:   Разработка функционала на 1С 8.2, 8.3 (управляемые формы) (УПП, ERP, 1с Документооборот)   Написание отчетов   Поддержка текущего функционала   Требования:   Опыт разработки на платформе 1С 8.3 не менее года   Умение строить отчеты в СКД   Опыт работы с онлайн-кассами   Условия:   Официальное трудоустройство   Полностью белая заработная плата   Компенсация питания   Режим работы: пн-чт с 8-30 до 17-30, пт. с 8-30 до 15-30  ;   Официальное трудоустройство   Полностью белая заработная плата   Компенсация питания   Режим работы: пн-чт с 8-30 до 17-30, пт. с 8-30 до 15-30  ;Опыт разработки на платформе 1С 8.3 не менее года. Умение строить отчеты в СКД. Опыт работы с онлайн...;Разработка функционала на 1С 8.2, 8.3 (управляемые формы) (УПП, ERP, 1с Документооборот). Написание отчетов. ;
30;Разработчик;Тюмень;40000.0;40000.0;Восток, Энергосбытовая компания;2019-10-11T10:07:49+0300;0;0;Полный день;Полная занятость;"  «Энергосбытовая компания «Восток» (АО «ЭК «Восток») успешно работает в энергосбытовом секторе уже более пятнадцати лет и в настоящее время поставляет электроэнергию клиентам на территории десяти субъектов Российской Федерации. Каждому сотруднику нашей компании предоставлена реальная возможность реализовать свой потенциал, получить ценный опыт работы, повысить свой статус в успешной команде профессионалов. Чем предстоит заниматься?   Разработка программного кода (BackEnd) высоконагруженной системы   Что мы ожидаем от будущего кандидата?   Знание PHP 7.x   Понимание принципов MVC в программировании   Опыт работы с популярными PHP фреймворками   Знание SQL, JavaScript, CSS, HTML   Опыт работы в команде, понимание Git   Мы постарались создать все условия для продуктивной и интересной работы:   Официальное трудоустройство согласно ТК РФ;   Стабильный, а главное полностью официальный доход;   Реальный карьерный рост в крупнейшей компании;   Атмосфера взаимопомощи и дружелюбия;     Работа в команде профессионалов в атмосфере взаимопомощи и поддержки;   Классическая пятидневка с фиксированными выходными;   График работы: с 8-00 до 17-00;   Обучение за счет предприятия.   А также в качестве бонуса:   Забота о здоровье: соц. пакет и бесплатные мед. обследования, ДМС;   Подарки в честь значимых событий в жизни сотрудников: рождение ребенка, свадьба, подарки детям на Новый год.   Если Вы ищите стабильную и интересную работу, то будем рады Вашим резюме!";;Знание PHP 7.x. Понимание принципов MVC в программировании. Опыт работы с популярными PHP фреймворками. Знание SQL, JavaScript, CSS, HTML. ;Разработка программного кода (BackEnd) высоконагруженной системы.;
32;Инженер-программист;Ижевск;40000.0;40000.0;МУП г. Ижевска «Ижводоканал»;2019-10-11T07:45:44+0300;3;6;Полный день;Полная занятость;Обязанности:   Доработка конфигурации 1C:ERP, ЗУП.   Разработка внешних отчетов, обработок.   Требования:   Профильное образование.   Знание программирования на платформе 1С 8.x Условия:  Постоянно Место работы: ул. Воткинское шоссе Служебный автобус ;  Постоянно Место работы: ул. Воткинское шоссе Служебный автобус ;Профильное образование.;Доработка конфигурации 1C:ERP, ЗУП. Разработка внешних отчетов, обработок.;Доработка конфигурации 1C:ERP, ЗУП
