;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
64;Android разработчик;Тюмень;30000.0;100000.0;Строительный Двор;2019-10-07T07:52:54+0300;1;3;Гибкий график;Полная занятость;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам!Мы любим web и у нас всегда есть интересные задачи! Требования:  высшее / неполное высшее образование (техническое / IT); знание основ программирования под Android; английский язык на уровне чтения и понимания документации; ответственность, нацеленность на результат; желание изучать язык программирования ABAP.  Обязанности:   поддержка/доработка существующей функциональности; поддержка и доработка интерфейсов связи со внешними системами; участие в разработке новой функциональности; оптимизация кода; поддержка пользователей системы.  Условия:  официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.    Стань частью нашей команды !Мы ждём твоё резюме!";"  официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.    Стань частью нашей команды !Мы ждём твоё резюме!";Высшее / неполное высшее образование (техническое / IT). Знание основ программирования под Android. Английский язык на уровне чтения и понимания документации. ;Поддержка/доработка существующей функциональности. Поддержка и доработка интерфейсов связи со внешними системами. Участие в разработке новой функциональности. Оптимизация кода. ;"Android; Java; HTML; XML; HTTP; ABAP"
69;Разработчик поисковых систем (Java);Тюмень;30000.0;100000.0;Строительный Двор;2019-10-07T07:52:54+0300;1;3;Полный день;Полная занятость;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам!Мы любим web и у нас всегда есть интересные задачи! Общие требования:  опыт коммерческой разработки (не менее 1 года); опыт командной работы; опыт разработки поисковых систем.  Требования к стеку:  Java; Spring Framework (Boot, REST, Data-JPA); PostgreSQL.  Будет плюсом:  знание Docker, Kubernetes; знание ElasticSearch, Solr ИЛИ Naumen; опыт коммерческой разработки с использованием Spring; опыт разработки микросервисов; приверженность к чистому коду и к чистой архитектуре; опыт работы с системами управления версий; умение тестировать код (JUnit, Mockito); желание учиться, развиваться, решать бизнес задачи.  Обязанности:  проектирование, разработка, внедрение и сопровождение проектов компаниис использованием технологического стека Java, Spring.  Условия:  официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";"  официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";Опыт коммерческой разработки (не менее 1 года). Опыт командной работы. Опыт разработки поисковых систем. Java. Spring Framework (Boot, REST, Data...;Проектирование, разработка, внедрение и сопровождение проектов компании. С использованием технологического стека Java, Spring.;"Java; Spring Framework; PostgreSQL; Hibernate; Mockito; JUnit; Docker; Kubernetes; Git"
4;Frontend-разработчик;Тюмень;40000.0;100000.0;CDS Company;2019-10-10T14:02:14+0300;1;3;Полный день;Полная занятость;"CDS Company - студия веб-разработок.Мы специализируемся на разработке крупных проектов, регионального и федерального уровня.Мы разрабатываем высоконагруженные интернет-магазины, CRM-системы для различных предприятий, профессиональные корпоративные порталы, модернизируем порталы СМИ и много других сложных, нетривиальных проектов. В разработке мы используем передовые технологии и крутые решения технического характера. В разработке используем нашу внутреннюю CRM систему для оптимизации внутренних бизнес-процессов. На сегодняшний день разработано и запущено свыше 50 проектов и находится более 100 сайтов на технической поддержке. На текущий момент набираем команду программистов для развития своих кодерских навыков и для разработки крутых проектов в связи с расширением штата и увеличением объема работ. Есть team-lead, наставник, который справится с любой задачей и любым вопросом. Обязанности: - Верстка проектов с нуля по дизайн-макетам PSD;- Доработки верстки существующих проектов;- Адаптация макетов под мобильные устройства;- Написание JS-скриптов на базе jQuery;- Оптимизация работы HTML/CSS/JS для ускорения работы сайтов; Требования: - Базовые знания web-разработки;- Знание JavaScript, JQuery;- Знание HTML5;- Знание CSS3.0;- Знание SASS;- Сборка на базе Node.js c таск-менеджером Gulp;- Знание Pug/Jade;- Базовые знания JavaScript, jQuery;- Пунктуальность;- Ответственность;- Не бояться учиться чему-то новому; Условия: - Работа в офисе в будни, график вы устанавливаете себе сами;- Перерыв на обед - 1 час в любое время;- Предоставляем рабочее место с хорошим компьютером (2 монитора, производительный компьютер);- За Вами будет закреплен руководитель, который будет помогать решать технические вопросы и руководить процессом разработки;- Обучение и повышение квалификации;- Официальное трудоустройство минимум после 2 месяцев испытательного срока;- Чай и печеньки за наш счет;- Корпоративчики и пятничные посиделки;- Офис в центре города;- Корпоративное жилье для иногородних;- Соц.пакет: выплата больничных, выплата отпускных, выплата квартальных премий, мед. страховка; На текущем этапе развития компании гарантируем карьерный рост до руководителя отдела разработки и выше.";" - Работа в офисе в будни, график вы устанавливаете себе сами;- Перерыв на обед - 1 час в любое время;- Предоставляем рабочее место с хорошим компьютером (2 монитора, производительный компьютер);- За Вами будет закреплен руководитель, который будет помогать решать технические вопросы и руководить процессом разработки;- Обучение и повышение квалификации;- Официальное трудоустройство минимум после 2 месяцев испытательного срока;- Чай и печеньки за наш счет;- Корпоративчики и пятничные посиделки;- Офис в центре города;- Корпоративное жилье для иногородних;- Соц.пакет: выплата больничных, выплата отпускных, выплата квартальных премий, мед. страховка; На текущем этапе развития компании гарантируем карьерный рост до руководителя отдела разработки и выше.";Базовые знания web-разработки. - Знание JavaScript, JQuery. - Знание HTML5. - Знание CSS3.0. - Знание SASS. - Знание Pug/Jade. - ;Верстка проектов с нуля по дизайн-макетам PSD. - Доработки верстки существующих проектов. - Адаптация макетов под мобильные устройства. - Написание JS-скриптов...;"PHP; jQuery; CSS3; 1С-Битрикс; CSS; ООП; MySQL; CMS Wordpress; HTML; HTML5; JavaScript; Ajax"
37;Разработчик баз данных SQL;Ижевск;50000.0;100000.0;ELMA;2019-10-11T09:02:51+0300;1;3;Полный день;Полная занятость;"О нас:Наши продукты автоматизируют ключевые процессы в крупнейших компаниях России и мира. Н Во многих областях мы первыми создаем красивые и полностью автоматизированные модули. Например, наш продукт первым в РФ полностью автоматизировал ответ на требования ИФНС. Наши заказчики исключили риски, а их сотрудники стали вовремя приходить домой. Наша команда состоит из профессиональных и дружных ребят. Каждый готов помочь, рассказать, штурмовать задачу с каждым.Вся работа построена вокруг проектной команды. Проектная команда сама определяет план работ, сроки и варианты реализации.Наш опыт и знания ценят, нам доверяют. Ищем того, кто хочет видеть как лично его работа помогла большому количеству людей, как его идеи воплотились в реальность.Мы ищем того, кто станет частью команды, кто будет помогать и принимать помощь и советы. В начале работы у каждого есть наставник. Он направит на путь истинный и поможет достичь большего.Морально и материально помогаем расти. Оплачиваем обучение, курсы, литературу. По факту приобретения новых навыков и знаний растет грейд, ЗП и гордость за тебя! Процесс личного и материального роста прописан и зависит только от желания самого человека. Если тебе нравятся разбираться в сути задачи, решать ее полностью, принимать решения самостоятельно, пробовать и постоянно развиваться - тогда нам по пути!Основные работы сосредоточены вокруг базы данных, как центра любой информационной системы. Задачи:  Работа над индивидуальными задачами в рамках большого проекта; Проектирование модели данных на основе требований от предметной области; Реализация бизнес-логики на уровне базы данных; Анализ и оптимизация работы базы данных.  Требования:  Принципы проектирования баз данных; Знание SQL; Опыт работы с любой реляционной базой данных (MS SQL Server, Oracle, PostgreSQL и т.п.).  Будет преимуществом:  Опыт работы с DB Oracle; Знания в предметной области (бухгалтерия, снабжение, сбыт и т.п.); Знание BI; Опыт работы с DWH.    Личные качества:  Умение работать в команде Ответственность и аккуратность Желание узнавать новое.    Условия:  Оформление в соответствии с ТК РФ; Конкурентная заработная плата (условия по зарплате обсуждается с каждым кандидатом индивидуально и зависит от его профессионального опыта, знаний и умений); Персональная карта развития специалиста; Регулярный рост дохода с учетом результатов по персональной карте развития; Корпоративное обучение; Занятия английским языком, корпоративный спорт; Компания настроена на долгосрочное сотрудничество. ";"  Оформление в соответствии с ТК РФ; Конкурентная заработная плата (условия по зарплате обсуждается с каждым кандидатом индивидуально и зависит от его профессионального опыта, знаний и умений); Персональная карта развития специалиста; Регулярный рост дохода с учетом результатов по персональной карте развития; Корпоративное обучение; Занятия английским языком, корпоративный спорт; Компания настроена на долгосрочное сотрудничество. ";Принципы проектирования баз данных. Знание SQL. Опыт работы с любой реляционной базой данных (MS SQL Server, Oracle, PostgreSQL и т...;Работа над индивидуальными задачами в рамках большого проекта. Проектирование модели данных на основе требований от предметной области. Реализация бизнес-логики...;SQL
43;Python программист (middle);Тюмень;60000.0;100000.0;Строительный Двор;2019-10-10T11:29:58+0300;1;3;Гибкий график;Полная занятость;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам!Мы любим web и у нас всегда есть интересные задачи! Требования:  опыт работы от 2+ года в разработке Python, или других языках; практический опыт работы с операционными системами семейства *nix; опыт использования какой-либо реляционной СУБД (MySQL, Postgre SQL, SQL Server, Oracle); использование тестов в процессе разработки, покрытие своего кода тестами; работа в команде разработчиков.  Обязанности:  качественное и своевременное исполнение задач web-проекта и непосредственного руководителя; поддержка и доработка уже существующих сайтов; разработка концепции развития веб-сервера; оптимизация БД и запросов‚ сопровождение существующего кода.  Условия:  Официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска, за год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";"  Официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска, за год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";...СУБД (MySQL, Postgre SQL, SQL Server, Oracle). Использование тестов в процессе разработки, покрытие своего кода тестами. Работа в команде <highlighttext>разработчиков</highlighttext>.;Качественное и своевременное исполнение задач web-проекта и непосредственного руководителя. Поддержка и доработка уже существующих сайтов. Разработка концепции развития веб...;"Python; MySQL; SQL; ORACLE; СУБД"
74;Web-программист (back-end);Тюмень;60000.0;100000.0;Строительный Двор;2019-10-04T11:58:34+0300;0;0;Полный день;Полная занятость;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам! Мы любим web и у нас всегда есть интересные задачи!Тебе предстоит решать следующие задачи:  разработка бизнес-систем (автоматизация бизнес-процессов); оптимизация сервисов под высокие нагрузки; проектирование и реализация веб и API-сервисов; работа над веб-сервисами: доработка существующих и написание новых; написание unit и интеграционных тестов; отладка, рефакторинг и документация кода.  Опыт и навыки, на которые мы рассчитываем:  опыт в разработке на python от 1 года; опыт веб-разработки бэкендов на коммерческих сайтах; уверенное знание: HTML‚ CSS‚ Javascript (jQuery)‚ PHP (ООП)‚ MySQL‚ Ajax‚ JSON‚ XML, python, ruby, perl; аналитический склад ума; умение разбираться в чужом коде и работать с ним; умение работать в команде; ожидается высокая самостоятельность в ходе решения технических проблем.  Будет идеально:  опыт работы с Django; широкий ИТ-кругозор, знание технологий, программных продуктов;  Условия:  официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!  ";"  официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!  ";Опыт в разработке на python от 1 года. Опыт веб-разработки бэкендов на коммерческих сайтах. Уверенное знание: HTML‚ CSS‚ Javascript...;Разработка бизнес-систем (автоматизация бизнес-процессов). Оптимизация сервисов под высокие нагрузки. Проектирование и реализация веб и API-сервисов. ;"HTML; CSS; MySQL; PHP; XML; Python; Ajax"
83;Разработчик C#;Тюмень;60000.0;100000.0;ФИДБЭК;2019-10-02T14:56:39+0300;1;3;Полный день;Полная занятость;Обязанности:  исправление и доработка существующей системы разработка нового функционала системы настройки инфраструктуры для поддержания работоспособности разработанных систем  Требования:  уверенные знания C#, .NET Framework, .NET Core (MVC, WebAPI, DI, Entity Framework и т.д.) опыт написания SQL-запросов (PostgreSQL) и умение грамотно проектировать архитектуру БД для приложений опыт работы с Git  Условия:  просторный офис в центре города гибкий график работы (начало рабочего дня с 8, 9, 10, 11) ;  просторный офис в центре города гибкий график работы (начало рабочего дня с 8, 9, 10, 11) ;Уверенные знания C#, .NET Framework, .NET Core (MVC, WebAPI, DI, Entity Framework и т.д.). Опыт написания SQL-запросов (PostgreSQL...;Исправление и доработка существующей системы. Разработка нового функционала системы. Настройки инфраструктуры для поддержания работоспособности разработанных систем.;"C#; NET Core; Git; PostgreSQL; API"
92;Web-программист на Bitrix;Тюмень;80000.0;100000.0;РостБизнесКонсалт;2019-09-30T09:21:46+0300;0;0;Полный день;Полная занятость;  Ищем разработчика на фултайм в офис. Работа на крупном проекте. Трудиться нужно будет в отделе маркетинга: молодая команда из 12 человек. 3 разработчика (помогут, подскажут по сложным задачам). Если не хватает каких-то знаний или умений - подтяните свои скилы на проекте, научитесь новому.   Обязанности:  Разработка новых проектов на Bitrix Поддержка существующих проектов на Bitrix Разработка и поддержка сайтов группы компаний. Оптимизация сайтов под требования поисковых систем (скорость загрузки, структура и т.д.) Подключение плагинов, программирование форм. Верстка сайтов по макетам. Доработка верстки существующих сайтов.    Требования:  Владение PHP / Javascript / CSS. Знание Bitrix на уровне разработчика. Уверенная работа с Bitrix Framework. Понимание основ ООП. Опыт работы с базами данных MySQL/MariaDB. Работа с Git    Приветствуется:  Наличие сертификатов: Разработчик Bitrix Framework и др. Опыт работы хотя-бы с одним из PHP фреймворков. Умение работать с менеджером пакетов Composer. Умение работать с Linux консолью. Умение работать с одним из препроцеcсоров: LESS/SASS/SCSS.    Условия:  Официальное трудоустройство, полный соц.пакет Достойный уровень дохода, предложение делается индивидуально успешному кандидату Своевременная выплата з/платы 2 раза в месяц Индексация заработной платы Офис в центре города, комфортное рабочее место, кухня для сотрудников Работа только на территории работодателя Пятидневная рабочая неделя (пн - пт, есть возможность выбрать время начала рабочего дня: с 8.00, 8.30, 9.00 и с 10.00, пятница - короткий день), 3 перерыва в течение дня Отсутствие дресс-кода ;  Официальное трудоустройство, полный соц.пакет Достойный уровень дохода, предложение делается индивидуально успешному кандидату Своевременная выплата з/платы 2 раза в месяц Индексация заработной платы Офис в центре города, комфортное рабочее место, кухня для сотрудников Работа только на территории работодателя Пятидневная рабочая неделя (пн - пт, есть возможность выбрать время начала рабочего дня: с 8.00, 8.30, 9.00 и с 10.00, пятница - короткий день), 3 перерыва в течение дня Отсутствие дресс-кода ;Владение PHP / Javascript / CSS. Знание Bitrix на уровне <highlighttext>разработчика</highlighttext>. Уверенная работа с Bitrix Framework. Понимание основ ООП. Опыт работы с...;Разработка новых проектов на Bitrix. Поддержка существующих проектов на Bitrix. Разработка и поддержка сайтов группы компаний. Оптимизация сайтов под требования...;"MySQL; JavaScript; Git; Linux; PHP"
2;Ведущий программист 1C;Ижевск;80000.0;100000.0;ВПС Консалтинг;2019-10-11T13:46:56+0300;3;6;Полный день;Полная занятость;"Обязанности: - Доработка по техническим задания типовых решений 1С (основной продукт- 1С УНФ)- Разработка новых учетных подсистем/конфигураций (по техническому заданию); -Разработка учетных подсистем/конфигураций по техническим заданиям; -Внедрение типовых продуктов и разработанных подсистем у клиента. без выезда на территорию клиента. - Сопровождение и доработка существующих модулей системы 1С (основной продукт – 1С УНФ). - Разработка и внедрение новых блоков и модулей;- Администрирование и поддержка 1С; - Администрирование БД MS SQL в связке 1С- Написание дополнительных отчетов и обработок (СКД и простые отчеты);- Устранение ошибок по запросу пользователей;- Консультация пользователей, настройка программы; Требования: Порядочность Ориентированность на команду и совместный успех Творческое и структурированное мышление Высокая квалификация Отличное знание и владение языком запросов 1С 8 Построение сложных отчетов на СКД Опыт работы с расширениями конфигураций   Условия:   Небольшая команда, Работаем с одним продуктом 1с УНФ, но глобально во всех направлениях. Официальное оформление по ТК РФ З/п выплачивается 2 раза в месяц, без задержек";   Небольшая команда, Работаем с одним продуктом 1с УНФ, но глобально во всех направлениях. Официальное оформление по ТК РФ З/п выплачивается 2 раза в месяц, без задержек;Порядочность. Ориентированность на команду и совместный успех. Творческое и структурированное мышление. Высокая квалификация. Отличное знание и владение языком запросов 1...;Доработка по техническим задания типовых решений 1С (основной продукт- 1С УНФ). - Разработка новых учетных подсистем/конфигураций (по техническому...;"высокая квалификация; 1С: Бухгалтерия; 1С программирование"
75;Программист 1С;Тюмень;100000.0;100000.0;Сибнефтемаш;2019-10-03T14:55:27+0300;3;6;Полный день;Полная занятость;Обязанности:  Разработка и сопровождение собственной конфигурации оперативного учета на платформе 8.3 и 1С Документооборот доработка и внедрение ERP  Требования:   Опыт программирования на платформе 8.3. Знание СКД, БСП, запросов, управляемых форм, web-сервисов.Понимание работы складских бизнес-процессов. Опыт работы на производственном или торгово-оптовом предприятии. Приветствуется опыт конвертации данных, знание ERP, SQL.   Условия:   Доставка на работу и обратно транспортом предприятияТрудоустройство по ТК РФСвоевременная выплата заработной платыСтоловаямедпунктспортзалМед. страхованиеВозможность санаторно-курортного лечения    ;   Доставка на работу и обратно транспортом предприятияТрудоустройство по ТК РФСвоевременная выплата заработной платыСтоловаямедпунктспортзалМед. страхованиеВозможность санаторно-курортного лечения    ;Опыт программирования на платформе 8.3. Знание СКД, БСП, запросов, управляемых форм, web-сервисов. Понимание работы складских бизнес-процессов. ;Разработка и сопровождение собственной конфигурации оперативного учета на платформе 8.3 и 1С Документооборот. Доработка и внедрение ERP.;платформа 8.3
